 ,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Angle,Length
1,scales:cropped_undistorted_GX010067_33_625.jpg_gamma 2,55,198.94,185.417,201.229,208,386,52,19,-19.938,54.252
2,scales:cropped_undistorted_GX010067_33_625.jpg_gamma,54,209.204,190.611,214.94,116,214,52,18,-18.321,53.021
3,scales:cropped_undistorted_GX010068_26_666.jpg_gamma,53,205.514,185.833,208.513,214,213,53,10,9.881,52.445
4,scales:cropped_undistorted_GX010068_27_795.jpg_gamma,53,199.685,174,204.365,155,214,52,9,-9.28,51.676
5,scales:cropped_undistorted_GX010069_19_191.jpg_gamma,57,194.807,180.778,203,168,220,51,26,27.025,55.754
6,scales:cropped_undistorted_GX010069_53_796.jpg_gamma,58,199.42,172.306,206.218,153,235,47,35,-36.87,56.667
7,scales:cropped_undistorted_GX010071_22_444.jpg_gamma,52,212.872,194.417,219.686,185,193,43,29,33.481,50.755
8,scales:cropped_undistorted_GX010073_42_695.jpg_gamma,52,203.641,192.528,208.135,199,222,50,15,15.222,50.782
9,scales:cropped_undistorted_GX010073_55_1014.jpg_gamma,59,183.959,172.083,188.267,173,241,34,48,-54.192,57.543
10,scales:cropped_undistorted_GX010077_14_237.jpg_gamma,60,209.877,181.083,219.756,179,160,42,43,-45.69,58.694
11,scales:cropped_undistorted_GX010080_157_2283.jpg_gamma,58,206.969,177.5,212.021,201,216,58,4,-2.995,57.412
12,scales:cropped_undistorted_GX010080_193_2640.jpg_gamma,54,157.534,139.167,163.141,160,236,53,11,-10.176,52.831
13,scales:cropped_undistorted_GX010080_212_2954.jpg_gamma,54,154.67,143.167,168.221,189,225,55,2,-1.432,53.35
14,scales:cropped_undistorted_GX010080_237_3366.jpg_gamma,55,197.974,183.806,217.083,85,125,54,1,0.356,53.668
15,scales:cropped_undistorted_GX010080_238_3392.jpg_gamma,56,187.951,153.5,195.614,115,135,56,3,1.38,55.349
16,scales:cropped_undistorted_GX010082_8_59.jpg_gamma,53,194.998,187.778,199.548,112,143,53,10,9.944,52.116
17,scales:cropped_undistorted_GX010082_53_796.jpg_gamma,52,141.482,125.333,144.748,131,157,52,1,0.754,50.671
18,scales:cropped_undistorted_GX010082_65_1070.jpg_gamma,54,168.858,153.444,176.437,178,181,54,1,0.36,53.001
19,scales:cropped_undistorted_GX010082_236_3137.jpg_gamma,53,189.16,161.972,201.5,224,192,50,19,20.642,52.005
20,scales:cropped_undistorted_GX010084_130_1748.jpg_gamma,56,214.076,187.667,221.367,174,134,48,29,-31.083,54.88
21,scales:cropped_undistorted_GX010084_167_2291.jpg_gamma,54,180.138,143.667,187.583,135,137,40,37,42.955,52.831
22,scales:cropped_undistorted_GX010085_261_3610.jpg_gamma,59,199.56,181.833,204.815,178,180,59,7,6.304,57.682
23,scales:cropped_undistorted_GX010085_263_3738.jpg_gamma,58,200.063,179.306,206.251,158,216,56,16,15.578,57.097
24,scales:cropped_undistorted_GX010088_209_2904.jpg_gamma,58,213.847,199.111,217.612,146,194,58,1,0.666,57.337
25,scales:cropped_undistorted_GX010088_262_3712.jpg_gamma,52,200.876,185.602,204.417,159,224,51,14,15.484,51.191
26,scales:cropped_undistorted_GX010088_327_4364.jpg_gamma,52,212.589,187.583,217.647,223,171,46,26,-29.055,51.478
27,scales:cropped_undistorted_GX010089_11_236.jpg_gamma,56,127.031,102.135,136.185,171,209,55,3,1.746,54.692
28,scales:cropped_undistorted_GX010090_132_1852.jpg_gamma,57,177.581,147.167,186.024,153,252,55,17,16.274,55.907
29,scales:cropped_undistorted_GX010091_5_149.jpg_gamma,53,141.182,112.546,152.727,187,213,52,10,9.221,52.005
30,scales:cropped_undistorted_GX010094_9_129.jpg_gamma,59,193.564,159.917,205,149,212,55,21,-20.209,57.897
31,scales:cropped_undistorted_GX010094_24_430.jpg_gamma,58,204.026,194.55,206.764,104,186,56,14,-13.955,56.673
32,scales:cropped_undistorted_GX010094_93_1258.jpg_gamma,57,187.899,157.694,198.862,134,187,57,7,5.473,55.922
33,scales:cropped_undistorted_GX010094_163_2312.jpg_gamma,53,199.237,176.167,205.342,113,155,48,23,-24.413,51.615
34,scales:cropped_undistorted_GX010096_107_1571.jpg_gamma,57,213.9,199.898,222.574,88,128,51,26,-26.719,55.604
35,scales:cropped_undistorted_GX010097_32_528.jpg_gamma,56,206.167,185.722,213.639,38,160,51,22,-23.29,54.799
36,scales:cropped_undistorted_GX010097_60_1080.jpg_gamma,52,191.378,179.5,198.194,77,123,49,17,18.672,51.019
37,scales:cropped_undistorted_GX010097_105_1651.jpg_gamma,57,203.9,190.778,207.968,130,191,55,18,-17.253,56.195
38,scales:cropped_undistorted_GX010097_124_1870.jpg_gamma,56,226.754,209.667,230.333,152,186,48,29,31.38,55.053
39,scales:cropped_undistorted_GX010101_12_173.jpg_gamma,51,180.119,167.611,186.614,66,181,50,13,13.851,50.124
40,scales:cropped_undistorted_GX010157_68_883,65,112.918,101,118.656,278,200,54,37,-33.773,64.16
41,scales:cropped_undistorted_GX010157_160_2259,76,122.203,89.167,131.72,99,142,64,41,-32.412,74.626
42,scales:cropped_undistorted_GX010157_174_2582.jpg_gamma,71,150.179,147.463,152.301,106,191,71,8,-5.466,69.985
