 ,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Angle,Length
1,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,24.34,137.787,117.08,169.569,35.341,42.27,99.613,99.266,44.9,140.384
2,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,24.61,137.866,114.297,167.319,33.955,42.27,100.306,100.652,45.099,141.854
3,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,24.73,113.457,3.923,166.459,33.955,41.578,100.306,101.692,45.394,142.592
4,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,24.76,137.865,105.454,170.489,33.955,41.231,100.999,101.345,45.098,142.834
5,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,24.76,137.92,107.576,170.496,33.609,41.578,100.999,101.345,45.098,142.834
6,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,24.73,138.689,108.333,171.124,33.955,40.885,100.652,101.345,45.197,142.59
7,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,24.73,103.38,0,155.337,33.955,41.578,100.652,101.345,45.197,142.59
8,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,24.55,140.456,119.552,193,33.262,41.578,100.306,100.306,45,141.609
9,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,24.82,138.784,108.333,171.186,33.609,40.885,100.999,101.692,45.196,143.08
10,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,24.49,102.799,0,159.317,33.955,42.963,99.959,99.959,45,141.119
11,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,24.55,113.286,3.587,166.457,33.955,42.27,99.613,100.999,45.397,141.612
12,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,24.55,111.465,4.013,164.333,34.648,41.924,99.613,100.999,45.397,141.612
13,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,24.7,139.223,108.333,176.082,33.262,41.924,100.999,100.652,44.901,142.344
14,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,24.55,103.408,0.687,170.333,34.301,41.924,100.306,100.306,45,141.609
15,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,24.64,138.087,109.209,170.646,33.955,41.578,100.306,100.999,45.198,142.1
16,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,24.73,139.456,110.84,176.15,33.262,41.231,100.652,101.345,45.197,142.59
17,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,24.52,120.874,0,155.973,34.301,41.924,99.613,100.652,45.298,141.366
18,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,24.49,138.562,108.682,170.583,33.955,42.27,99.959,99.959,45,141.119
19,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,24.7,55.329,0,153.667,33.955,41.924,100.652,100.999,45.099,142.344
20,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,24.76,138.751,108.379,170.929,33.262,41.578,100.999,101.345,45.098,142.834
