image_name,big_total_length,big_carapace_length,big_eye_x,big_eye_y,small_total_length,small_carapace_length,small_eye_x,small_eye_y,pond_type
undistorted_GX010191_90_1036.jpg,208.5,49.3,3229.3,791.8,,,,,circle
undistorted_GX010191_35_1167.jpg,213.7,51.0,4144.3,1699.1,162.3,38.1,3271.9,678.1,circle
undistorted_GX010191_28_230.jpg,208.2,47.4,3898.5,1231.9,161.3,38.8,2680.0,408.3,circle
undistorted_GX010191_114_1383.jpg,,,,,155.4,35.1,4775.6,487.1,circle
undistorted_GX010191_94_1132.jpg,185.3,39.0,3734.3,1889.7,137.1,34.7,3435.0,517.9,circle
undistorted_GX010191_16_495.jpg,,,,,147.6,28.6,4310.0,2736.7,circle
undistorted_GX010191_5_190.jpg,213.2,47.0,3677.9,604.6,,,,,circle
undistorted_GX010191_14_460.jpg,191.2,48.1,3230.8,1075.8,,,,,circle
undistorted_GX010191_35_367.jpg,184.9,43.9,4549.9,1626.1,150.3,34.8,3237.3,1989.5,circle
undistorted_GX010191_88_1016.jpg,197.1,49.3,3261.5,505.5,,,,,circle
undistorted_GX010191_17_509.jpg,193.8,48.4,3467.9,2445.6,145.8,37.8,780.1,2760.0,circle
undistorted_GX010191_8_309.jpg,206.9,44.9,3892.2,2265.3,164.5,36.8,2899.3,1448.1,circle
undistorted_GX010191_10_370.jpg,,,,,148.9,34.7,3275.6,1976.4,circle
undistorted_GX010191_105_1312.jpg,202.2,47.3,2792.5,910.2,153.1,39.0,3238.0,2205.4,circle
undistorted_GX010191_46_1396.jpg,175.8,45.6,4094.4,1341.9,,,,,circle
undistorted_GX010191_100_1250.jpg,185.8,44.3,4175.5,814.2,144.8,36.9,2861.3,1433.4,circle
undistorted_GX010191_32_305.jpg,211.1,44.9,3949.7,2264.9,165.8,39.3,2916.1,1451.4,circle
undistorted_GX010191_117_1408.jpg,183.8,45.4,4093.2,941.3,,,,,circle
undistorted_GX010191_47_507.jpg,191.1,47.3,3395.6,2412.6,160.9,34.8,4636.6,2687.8,circle
undistorted_GX010191_27_215.jpg,203.6,44.3,3732.6,956.1,,,,,circle
undistorted_GX010191_42_1339.jpg,195.6,48.0,2779.0,1643.1,159.3,0.0,0.0,0.0,circle
undistorted_GX010191_34_1128.jpg,199.0,44.6,3706.9,1819.0,144.5,35.9,3431.8,454.5,circle
undistorted_GX010191_41_1322.jpg,189.6,47.9,2700.2,1187.9,127.6,30.2,3537.3,2270.2,circle
undistorted_GX010191_101_1265.jpg,191.7,44.4,3851.4,651.9,,,,,circle
undistorted_GX010191_42_457.jpg,186.2,45.4,3271.9,949.3,,,,,circle
undistorted_GX010191_34_350.jpg,195.3,43.3,4439.2,2043.8,161.7,37.8,3141.2,1908.9,circle
undistorted_GX010191_36_1195.jpg,193.0,43.0,4589.6,1178.4,155.9,36.4,3197.9,765.1,circle
undistorted_GX010191_106_1320.jpg,177.7,45.7,2689.5,1163.5,,,,,circle
undistorted_GX010191_110_1355.jpg,,,,,150.4,30.7,4396.5,1709.1,circle
undistorted_GX010191_31_283.jpg,186.7,39.1,3738.9,2030.3,,,,,circle
undistorted_GX010191_37_1242.jpg,201.6,46.0,4279.4,817.0,157.2,38.9,2924.2,1226.3,circle
undistorted_GX010191_43_1353.jpg,184.9,46.1,3031.8,1862.0,150.3,31.1,4389.4,1748.8,circle
undistorted_GX010191_118_1415.jpg,199.9,45.9,4084.1,666.2,,,,,circle
undistorted_GX010191_38_1266.jpg,186.9,43.4,3847.1,647.7,156.7,43.0,2821.3,1621.4,circle
undistorted_GX010191_15_479.jpg,,,,,145.1,39.4,4083.0,2576.3,circle
undistorted_GX010193_28_1584.jpg,,,,,158.1,34.1,2855.8,772.0,square
undistorted_GX010193_18_1289.jpg,,,,,162.1,37.3,2346.8,1199.8,square
undistorted_GX010193_20_1365.jpg,,,,,126.4,29.2,706.9,1453.7,square
undistorted_GX010193_11_1065.jpg,204.0,49.8,2679.6,2007.6,,,,,square
undistorted_GX010194_19_285.jpg,,,,,149.2,36.9,1905.9,1524.8,square
undistorted_GX010192_26_1578.jpg,,,,,155.0,40.7,2338.8,1954.3,square
undistorted_GX010194_7_885.jpg,179.2,43.4,2253.3,704.6,,,,,square
undistorted_GX010194_60_836.jpg,,,,,144.8,34.8,2931.3,653.6,square
undistorted_GX010194_39_513.jpg,,,,,157.5,37.5,2394.4,2021.8,square
undistorted_GX010193_19_1334.jpg,,,,,152.1,37.9,1565.7,1146.7,square
undistorted_GX010194_65_928.jpg,,,,,159.8,41.8,2094.8,969.7,square
undistorted_GX010194_6_101.jpg,,,,,147.4,38.1,4497.1,496.3,square
undistorted_GX010193_27_1553.jpg,,,,,155.2,37.9,3632.7,977.2,square
undistorted_GX010193_7_360.jpg,,,,,140.4,35.5,2440.6,2308.4,square
undistorted_GX010194_26_373.jpg,,,,,146.0,36.7,1605.1,1825.0,square
