image_name,big_total_length,big_carapace_length,big_eye_x,big_eye_y,small_total_length,small_carapace_length,small_eye_x,small_eye_y
undistorted_GX010191_100_1250.jpg,185.8,44.3,4175.5,814.2,144.8,36.9,2861.3,1433.4
undistorted_GX010191_101_1265.jpg,191.7,44.4,3851.4,651.9,,,,
undistorted_GX010191_103_1289.jpg,189.8,49.0,3170.0,578.0,145.9,36.8,2814.6,1969.6
undistorted_GX010191_104_1301.jpg,209.3,52.4,2895.9,665.9,143.8,36.2,2947.7,2113.5
undistorted_GX010191_105_1312.jpg,202.2,47.3,2792.5,910.2,153.1,39.0,3238.0,2205.4
undistorted_GX010191_106_1320.jpg,177.7,45.7,2689.5,1163.5,,,,
undistorted_GX010191_107_1330.jpg,190.7,51.0,2578.7,1469.5,131.9,26.0,3653.4,2201.5
undistorted_GX010191_109_1347.jpg,189.3,47.8,2842.9,1818.4,158.0,35.2,4148.5,1927.3
undistorted_GX010191_10_370.jpg,,,,,148.9,34.7,3275.6,1976.4
undistorted_GX010191_110_1355.jpg,,,,,150.4,30.7,4396.5,1709.1
undistorted_GX010191_114_1383.jpg,,,,,155.4,35.1,4775.6,487.1
undistorted_GX010191_116_1399.jpg,182.6,44.6,4098.0,1215.7,,,,
undistorted_GX010191_117_1408.jpg,183.8,45.4,4093.2,941.3,,,,
undistorted_GX010191_118_1415.jpg,199.9,45.9,4084.1,666.2,,,,
undistorted_GX010191_11_391.jpg,188.6,43.8,4421.4,869.6,132.0,45.2,3483.5,1929.8
undistorted_GX010191_14_460.jpg,191.2,48.1,3230.8,1075.8,,,,
undistorted_GX010191_15_479.jpg,,,,,145.1,39.4,4083.0,2576.3
undistorted_GX010191_16_495.jpg,,,,,147.6,28.6,4310.0,2736.7
undistorted_GX010191_17_509.jpg,193.8,48.4,3467.9,2445.6,145.8,37.8,780.1,2760.0
undistorted_GX010191_26_199.jpg,189.5,41.5,3693.2,642.2,,,,
undistorted_GX010191_27_215.jpg,203.6,44.3,3732.6,956.1,,,,
undistorted_GX010191_28_230.jpg,208.2,47.4,3898.5,1231.9,161.3,38.8,2680.0,408.3
undistorted_GX010191_31_283.jpg,186.7,39.1,3738.9,2030.3,,,,
undistorted_GX010191_32_1049.jpg,181.4,45.3,3272.6,936.3,,,,
undistorted_GX010191_32_305.jpg,211.1,44.9,3949.7,2264.9,165.8,39.3,2916.1,1451.4
undistorted_GX010191_34_1128.jpg,199.0,44.6,3706.9,1819.0,144.5,35.9,3431.8,454.5
undistorted_GX010191_34_350.jpg,195.3,43.3,4439.2,2043.8,161.7,37.8,3141.2,1908.9
undistorted_GX010191_35_1167.jpg,213.7,51.0,4144.3,1699.1,162.3,38.1,3271.9,678.1
undistorted_GX010191_35_367.jpg,184.9,43.9,4549.9,1626.1,150.3,34.8,3237.3,1989.5
undistorted_GX010191_36_1195.jpg,193.0,43.0,4589.6,1178.4,155.9,36.4,3197.9,765.1
undistorted_GX010191_37_1242.jpg,201.6,46.0,4279.4,817.0,157.2,38.9,2924.2,1226.3
undistorted_GX010191_38_1266.jpg,186.9,43.4,3847.1,647.7,156.7,43.0,2821.3,1621.4
undistorted_GX010191_41_1322.jpg,189.6,47.9,2700.2,1187.9,127.6,30.2,3537.3,2270.2
undistorted_GX010191_41_445.jpg,210.5,48.4,3311.2,528.9,,,,
undistorted_GX010191_42_1339.jpg,195.6,48.0,2779.0,1643.1,159.3,0.0,0.0,0.0
undistorted_GX010191_42_457.jpg,186.2,45.4,3271.9,949.3,,,,
undistorted_GX010191_43_1353.jpg,184.9,46.1,3031.8,1862.0,150.3,31.1,4389.4,1748.8
undistorted_GX010191_45_489.jpg,177.8,47.6,3079.8,2004.2,149.1,30.7,316.7,821.6
undistorted_GX010191_46_1396.jpg,175.8,45.6,4094.4,1341.9,,,,
undistorted_GX010191_46_497.jpg,178.8,45.1,3222.8,2234.0,164.2,37.5,4362.5,2770.9
undistorted_GX010191_47_507.jpg,191.1,47.3,3395.6,2412.6,160.9,34.8,4636.6,2687.8
undistorted_GX010191_48_515.jpg,,,,,170.1,42.4,3708.3,2501.9
undistorted_GX010191_49_523.jpg,176.8,38.8,3985.5,2420.7,,,,
undistorted_GX010191_5_190.jpg,213.2,47.0,3677.9,604.6,,,,
undistorted_GX010191_6_219.jpg,180.5,38.1,3783.7,1072.5,,,,
undistorted_GX010191_7_260.jpg,207.8,45.3,3926.1,1679.1,,,,
undistorted_GX010191_88_1016.jpg,197.1,49.3,3261.5,505.5,,,,
undistorted_GX010191_8_309.jpg,206.9,44.9,3892.2,2265.3,164.5,36.8,2899.3,1448.1
undistorted_GX010191_90_1036.jpg,208.5,49.3,3229.3,791.8,,,,
undistorted_GX010191_94_1132.jpg,185.3,39.0,3734.3,1889.7,137.1,34.7,3435.0,517.9
undistorted_GX010191_95_1157.jpg,211.2,50.2,4028.3,1831.2,146.1,34.5,3320.3,640.0
undistorted_GX010191_96_1175.jpg,199.5,42.6,4249.3,1592.5,,,,
undistorted_GX010191_98_1211.jpg,192.8,43.1,4627.3,1020.8,165.1,41.2,3189.8,877.0
undistorted_GX010191_99_1233.jpg,210.0,47.7,4379.5,941.3,173.6,42.2,3012.0,1138.9
undistorted_GX010191_9_346.jpg,196.6,45.1,4417.4,2080.8,168.1,39.4,3108.2,1895.3
undistorted_GX010192_11_745.jpg,,,,,149.9,39.4,1562.9,856.8
