Image,Pond,Pred_Total_mm,Pred_Carapace_mm,Total_Error_mm,Carapace_Error_mm,Total_Error_%,Carapace_Error_%,Pixel_Error_px,Scale_Error_%
undistorted_GX010191_100_1250.jpg,Circle,142.96,38.0,-2.04,-3.0,-1.41,-7.32,6.67,2.31
undistorted_GX010191_105_1312.jpg,Circle,141.36,35.72,-3.64,-5.28,-2.51,-12.88,25.84,6.1
undistorted_GX010191_10_370.jpg,Circle,141.99,35.58,-3.01,-5.42,-2.08,-13.21,36.68,7.08
undistorted_GX010191_114_1383.jpg,Circle,149.48,32.68,4.48,-8.32,3.09,-20.3,42.32,2.39
undistorted_GX010191_17_509.jpg,Circle,142.32,29.87,-2.68,-11.13,-1.85,-27.14,25.71,5.36
undistorted_GX010191_28_230.jpg,Circle,152.68,36.22,7.68,-4.78,5.3,-11.66,22.99,2.35
undistorted_GX010191_32_305.jpg,Circle,154.23,36.88,9.23,-4.12,6.37,-10.04,3.51,5.92
undistorted_GX010191_34_1128.jpg,Circle,135.05,33.6,-9.95,-7.4,-6.86,-18.06,108.66,22.63
undistorted_GX010191_34_350.jpg,Circle,149.25,35.47,4.25,-5.53,2.93,-13.49,44.92,2.93
undistorted_GX010191_35_1167.jpg,Circle,149.17,34.82,4.17,-6.18,2.88,-15.08,10.68,1.47
undistorted_GX010191_35_367.jpg,Circle,146.13,35.37,1.13,-5.63,0.78,-13.74,46.22,5.36
undistorted_GX010191_36_1195.jpg,Circle,144.85,34.06,-0.15,-6.94,-0.11,-16.93,28.64,3.97
undistorted_GX010191_37_1242.jpg,Circle,139.21,34.5,-5.79,-6.5,-3.99,-15.85,0.51,4.06
undistorted_GX010191_38_1266.jpg,Circle,148.23,39.55,3.23,-1.45,2.23,-3.53,50.84,4.4
undistorted_GX010191_42_1339.jpg,Circle,138.17,30.61,-6.83,-10.39,-4.71,-25.35,18.69,7.35
undistorted_GX010191_47_507.jpg,Circle,153.37,30.85,8.37,-10.15,5.77,-24.75,87.56,5.36
undistorted_GX010191_8_309.jpg,Circle,154.85,35.65,9.85,-5.35,6.79,-13.04,0.53,6.72
undistorted_GX010191_94_1132.jpg,Circle,126.5,31.99,-18.5,-9.01,-12.76,-21.97,176.78,40.14
undistorted_GX010192_26_1578.jpg,Square,139.48,33.93,-5.52,-7.07,-3.81,-17.24,68.8,9.28
undistorted_GX010193_18_1289.jpg,Square,145.84,32.83,0.84,-8.17,0.58,-19.93,39.85,2.45
undistorted_GX010193_19_1334.jpg,Square,134.26,33.65,-10.74,-7.35,-7.41,-17.92,103.57,16.04
undistorted_GX010193_28_1584.jpg,Square,143.56,31.73,-1.44,-9.27,-0.99,-22.62,79.28,7.12
undistorted_GX010193_7_360.jpg,Square,128.6,32.2,-16.4,-8.8,-11.31,-21.46,153.31,24.73
undistorted_GX010194_19_285.jpg,Square,133.08,30.33,-11.92,-10.67,-8.22,-26.03,84.78,15.32
undistorted_GX010194_26_373.jpg,Square,126.36,31.84,-18.64,-9.16,-12.86,-22.33,90.87,20.93
undistorted_GX010194_65_928.jpg,Square,137.04,33.02,-7.96,-7.98,-5.49,-19.47,49.54,9.51
undistorted_GX010194_7_885.jpg,Square,154.74,36.45,9.74,-4.55,6.72,-11.09,74.32,1.38
