,Label,PrawnID,Avg_Length,Std_Length,Uncertainty,Length_1,Length_2,Length_3,BoundingBox_1,BoundingBox_2,BoundingBox_3,Angle_1,Angle_2,Angle_3,Scale_1,Scale_2,Scale_3,Global_Uncertainty
8,carapace:undistorted_GX010067_33_625.jpg_gamma,Prawn_0,41.918,2.531546694545976,1.461589165562227,40.475,39.802,45.477,"(2996.016573, 737.0050179, 159.9996606, 166.0006386)","(2976.000643, 731.9983679, 168.998449, 152.9979559)","(2968.0241899, 716.0031604000001, 192.999785, 181.0031267)",-133.939,-137.862,-136.848,56.613,56.921,57.871,0.2942581907953586
9,carapace:undistorted_GX010067_33_625.jpg_gamma,Prawn_1,26.698,1.84273510485546,1.063903608833473,28.855,24.353,26.886,"(3770.0181864, 1859.0067423, 114.9979869, 117.9984759)","(3756.0004902, 1851.9987323, 96.9990761, 101.0006224)","(3760.0293346, 1856.0155636, 112.9989146, 109.0000285)",134.256,133.831,136.042,56.613,56.921,57.871,0.2942581907953586
10,carapace:undistorted_GX010067_33_625.jpg_gamma,Prawn_2,46.29966666666667,4.579568708465411,2.644015226604892,51.637,40.454,46.808,"(1136.0077806, 2072.0074935, 280.9986255, 84.9987582)","(1164.0002974, 2075.9999436, 221.0014746, 68.9996362)","(1132.0088439, 2076.0179572, 261.0039971, 77.0031526)",-163.301,-162.824,-163.706,56.613,56.921,57.871,0.2942581907953586
11,carapace:undistorted_GX010067_33_625.jpg_gamma,Prawn_3,24.27866666666667,0.5521813309251062,0.3188020400510959,24.729,24.606,23.501,"(368.0014839, 2140.0110291, 141.0003378, 1.0020501)","(335.9989709, 2136.0003697, 140.9990091, 4.9976638)","(352.0003575000001, 2128.0150507, 137.0038054, 1.0011683)",0.0,-1.637,0.0,56.613,56.921,57.871,0.2942581907953586
20,carapace:undistorted_GX010068_26_666.jpg_gamma,Prawn_0,33.84333333333333,2.607537961798873,1.505462744166747,36.364,30.252,34.914,"(1496.0102131, 2248.0127922, 149.0029833, 149.0029833)","(1492.0112784, 2256.0158896, 108.9985432, 108.9985432)","(1495.9935876, 2255.9896036, 129.0004676, 140.9969732)",135.0,135.0,132.436,57.559,50.488,54.332,0.2942581907953586
21,carapace:undistorted_GX010068_26_666.jpg_gamma,Prawn_1,34.544,2.701462196663132,1.559689926449057,35.517,30.858,37.257,"(2800.015114, 1824.0101746, 104.9991278, 176.9996809)","(2812.0200384, 1836.0112664, 76.99924879999999, 136.999188)","(2811.9852592, 1819.9916032, 100.9977548, 176.9973564)",120.579,119.197,119.604,57.559,50.488,54.332,0.2942581907953586
22,carapace:undistorted_GX010068_26_666.jpg_gamma,Prawn_2,32.81366666666667,1.599245099692006,0.9233245888073693,31.649,35.075,31.717,"(3440.0193909, 2576.0127537, 172.9993304, 61.0010282)","(3460.0234208, 2576.0189312, 169.0035312, 57.000952)","(3439.9816812, 2567.9856804, 160.9965824, 64.9973716)",19.231,18.435,21.801,57.559,50.488,54.332,0.2942581907953586
31,carapace:undistorted_GX010068_27_795.jpg_gamma,Prawn_1,36.97933333333333,1.001334221038219,0.5781205820652002,37.21,38.074,35.654,"(2933.99415, 239.9971518, 12.9990906, 204.9979104)","(2935.973141200001, 275.9990631, 13.0013464, 181.0001581)","(2935.9977247, 259.9990255, 17.0000402, 192.9985492)",93.366,93.814,94.764,54.918,47.381,54.037,0.2942581907953586
32,carapace:undistorted_GX010068_27_795.jpg_gamma,Prawn_2,33.47766666666666,3.25777186978394,1.880875465978148,29.84,32.848,37.745,"(2105.995464, 1973.9945592, 150.997041, 66.99995999999999)","(2163.9802939, 1951.9834856, 140.9963798, 69.0009503)","(2107.9995811, 1959.9976418, 185.0010732, 88.998939)",23.749,25.907,25.56,54.918,47.381,54.037,0.2942581907953586
41,carapace:undistorted_GX010069_19_191.jpg_gamma,Prawn_0,31.406,1.184022240782102,0.6835955594420504,32.975,30.115,31.128,"(736.0034079999999, 1096.0043744, 172.9987392, 89.00124799999999)","(736.0018182, 1104.000111, 145.0005786, 64.9993572)","(732.0042514999999, 1084.0051196, 157.0014285, 93.00232849999999)",152.904,156.038,149.47,58.592,52.326,58.181,0.2942581907953586
