 ,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Angle,Length
1,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,8.339,140.183,130.796,167.333,48.84,84.517,32.906,35.158,46.904,47.91
2,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,8.069,138.062,129.973,151,50.572,85.903,31.348,34.465,47.726,46.344
3,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,8.339,141.029,134.199,157,48.147,83.824,33.079,35.158,46.753,48.028
4,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,8.219,139.905,132.782,159,49.706,84.517,31.521,35.504,48.419,47.233
5,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,8.489,142.463,135.213,150.655,47.627,82.266,33.426,36.024,47.153,48.898
6,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,8.129,140.258,132.982,159,49.013,84.863,32.04,34.292,46.954,46.686
7,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,8.219,142.453,135.333,150,47.454,83.651,32.387,34.811,47.077,47.302
8,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,8.129,143.191,136.141,152.8,47.801,82.958,31.348,34.985,48.155,46.73
9,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,8.069,142.952,135.27,153.952,47.627,83.651,31.174,34.638,48.029,46.356
10,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,8.309,140.873,134,168.333,48.84,84.171,32.213,35.677,47.936,47.824
11,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,8.369,142.304,135.333,154,47.108,83.651,33.079,35.331,46.895,48.155
12,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,8.099,140.258,134,152.333,49.186,84.517,32.04,34.119,46.809,46.56
13,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,8.099,141.934,28.071,153.865,46.935,83.824,32.906,33.253,45.302,46.537
14,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,8.069,139.477,126.975,150.333,49.533,84.863,32.213,33.772,46.36,46.427
15,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,7.979,141.699,64.936,148.962,47.801,84.171,31.867,33.426,46.375,45.937
16,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,8.189,140.492,134,155.333,49.186,84.171,32.04,34.811,47.386,47.067
17,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,8.309,142.225,47.188,153.896,46.761,82.958,33.079,34.811,46.469,47.777
18,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,8.279,141.95,135.123,150.065,48.32,82.958,32.56,34.985,47.066,47.547
19,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,8.279,140.079,131.912,154,49.533,83.824,32.387,35.331,47.502,47.684
20,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,8.129,140.542,134,157,49.013,84.517,31.867,34.465,47.255,46.695
