meas_image_name,meas_prawn_id,meas_meas_1,meas_meas_2,meas_meas_3,meas_avg,meas_std,meas_dev_pct,meas_flag,meas_base_image_name,meas_camera_frame,meas_scale_factor,meas_scaled_meas_1,meas_scaled_meas_2,meas_scaled_meas_3,meas_scaled_avg,meas_measurement_type,meas_center_x,meas_center_y,length_Unnamed: 0,length_Label,length_PrawnID,length_Avg_Length,length_Std_Length,length_Uncertainty,length_Length_1,length_Length_2,length_Length_3,length_BoundingBox_1,length_BoundingBox_2,length_BoundingBox_3,length_Angle_1,length_Angle_2,length_Angle_3,length_Scale_1,length_Scale_2,length_Scale_3,length_Global_Uncertainty,length_combined_scale,length_Length_bounding_box_1_1,length_Length_bounding_box_1_2,length_Length_bounding_box_2_1,length_Length_bounding_box_2_2,length_Length_bounding_box_3_1,length_Length_bounding_box_3_2,length_Length_ground_truth_annotation(mm),length_Length_ground_truth_annotation_pixels,length_pred_Distance_pixels,length_combined_scale_ground,length_id,length_Length_fov(mm),length_Height(mm),length_focal_RealLength(cm),length_Length_1_pixels,length_Length_2_pixels,length_Length_3_pixels,length_Pond_Type,length_Euclidean_Distance,length_MPError_fov_min,length_MPError_fov_max,length_MPError_fov_median,length_AbsError_fov_min,length_AbsError_fov_max,length_AbsError_fov_median,length_AbsError_focal_min,length_AbsError_focal_max,length_AbsError_focal_median,length_MPError_focal_min,length_MPError_focal_max,length_MPError_focal_median,length_Error_distance_mm_ground_min,length_Error_distance_mm_ground_max,length_Error_distance_mm_ground_median,length_Error_percentage_distance_mm_ground_min,length_Error_percentage_distance_mm_ground_max,length_Error_percentage_distance_mm_ground_median,length_pose_eval_iou,length_camera_frame,match_type,center_in_any_bbox,distance_to_nearest_bbox,nearest_bbox_column
undistorted_GX010068_27_795.jpg_gamma_obj1_cropped0.552035_0.17379999999999998,1.jpg,227.2202,228.7903,228.5607,228.0052,0.2,OK,,undistorted_GX010068_27_795.jpg_gamma,undistorted_GX010068_27_795,0.1935134298320303,43.97016022911991,44.273995665299175,44.22956498180974,44.12206827153805,carapace,0.552035,0.1737999999999999,31,carapace:undistorted_GX010068_27_795.jpg_gamma,Prawn_1,36.97933333333333,1.001334221038219,0.5781205820652002,37.21,38.074,35.654,"(2933.99415, 239.9971518, 12.9990906, 204.9979104)","(2935.973141200001, 275.9990631, 13.0013464, 181.0001581)","(2935.9977247, 259.9990255, 17.0000402, 192.9985492)",93.366,93.814,94.764,54.918,47.381,54.037,0.2942581907953586,0.1847138824799507,205.4096385878555,205.4096385878555,181.4665044586404,181.4665044586404,193.7458163680095,193.7458163680095,32.33285354966209,175.071414000116,186.555052689769,0.1846837973767703,67ee452ac8c5352390d5a35a,34.459308078579,650.0,35.16386149827026,204.349878,180.3984194,192.6635198,right,186.555052689769,3.350793519439625,9.493859120189628,7.392345932332692,1.194691921421004,3.614691921420999,2.750691921420994,0.4901385017297457,2.91013850172974,2.046138501729736,1.374708312474745,7.643374748462836,5.498894119133933,3.321146450337913,5.741146450337908,4.877146450337904,9.314933668979394,15.07891592776674,13.10708532743323,0.9719710462148372,undistorted_GX010068_27_795,spatial_match,False,62.41696928076594,length_BoundingBox_2
undistorted_GX010069_53_796.jpg_gamma_obj0_cropped0.82672_0.699938,1.jpg,227.4775,226.241,227.4379,226.8592,0.3,OK,,undistorted_GX010069_53_796.jpg_gamma,undistorted_GX010069_53_796,0.1764695501791165,40.14285210087,39.92464750207352,40.1358639066829,40.03374097799424,carapace,0.82672,0.699938,54,carapace:undistorted_GX010069_53_796.jpg_gamma,Prawn_1,36.94333333333334,0.9501194077003646,0.5485516957980934,38.237,36.611,35.982,"(4439.9949336, 2107.9947438, 208.9983897, 92.9985435)","(4476.005905, 2120.0002225, 169.0011175, 73.00033499999999)","(4475.9964016, 2131.9982004, 189.0011172, 76.9992028)",-23.86,-23.199,-22.011,59.481,49.925,56.356,0.2942581907953586,0.1904922416802785,228.7554501871256,228.7554501871256,184.0935268453539,184.0935268453539,204.0840501721872,204.0840501721872,36.20201983105395,190.0657780874821,204.9122500858541,0.1904710053294872,67ee4528c8c5352390d59f8d,39.03419386660418,650.0,38.62401943784531,227.4374997,182.7804175,202.7801592,right,204.9122500858541,8.482557574910171,2.084875556670699,6.618759024894649,3.052193866604178,0.7971938666041751,2.42319386660418,2.642019437845306,0.3870194378453036,2.013019437845308,7.342614189998628,1.012159525708878,5.49840058410125,0.2200198310539463,2.034980168946056,0.4089801689460515,0.6114719333387424,5.322018382577232,1.117096416230235,0.996456525236134,undistorted_GX010069_53_796,spatial_match,False,51.216233871613206,length_BoundingBox_1
undistorted_GX010080_157_2283.jpg_gamma_obj2_cropped0.235209_0.123212,1.jpg,173.2195,170.6019,173.6001,171.9107,1.0,OK,,undistorted_GX010080_157_2283.jpg_gamma,undistorted_GX010080_157_2283,0.1741796140179753,30.17130565038668,29.715373092733223,30.23759841148192,29.94333937155995,carapace,0.235209,0.123212,135,carapace:undistorted_GX010080_157_2283.jpg_gamma,Prawn_0,26.50133333333333,1.866121170294744,1.07740556001013,29.135,25.331,25.038,"(1240.0005307, 147.9985298, 109.0028774, 156.9985284)","(1216.002375, 152.0019, 101.0032875, 129.0002625)","(1228.0108686, 147.9999786, 109.0024236, 133.000395)",55.305,52.001,50.711,65.123,64.125,68.118,0.2942581907953586,0.1874790953095113,191.1286613808746,191.1286613808746,163.8375164938621,163.8375164938621,171.9611392752149,171.9611392752149,34.82721851988882,186.0107523773827,187.894376965569,0.187232286707978,67ee4528c8c5352390d5a040,35.22626780724914,650.0,35.41631144618896,189.7358605,162.4350375,170.5538484,right,187.894376965569,40.69122057372451,20.90704584605849,39.06386564781941,10.18826780724914,6.091267807249142,9.895267807249136,10.37831144618896,6.281311446188955,10.08531144618895,41.45024141780077,21.55933223335835,39.81410700797026,9.789218519888816,5.692218519888815,9.49621851988881,39.09744596169349,19.53738980569355,37.48852599537645,0.9979802926784668,undistorted_GX010080_157_2283,spatial_match,False,63.160397800000055,length_BoundingBox_1
undistorted_GX010080_193_2640.jpg_gamma_obj0_cropped0.302666_0.21123500000000003,1.jpg,229.0786,222.396,221.5784,225.7373,1.8,OK,,undistorted_GX010080_193_2640.jpg_gamma,undistorted_GX010080_193_2640,0.1892828074425999,43.36064053302038,42.09573924400446,41.94098162063939,42.728189888512425,carapace,0.302666,0.211235,152,carapace:undistorted_GX010080_193_2640.jpg_gamma,Prawn_0,34.53533333333333,4.470108524658235,2.580818360018273,29.61,40.43,33.566,"(1619.001, 437.9983, 120.9996, 135.9995)","(1595.9974052, 428.001926, 145.0012212, 153.0024672)","(1591.9949058, 436.0000073, 144.9976229, 144.9976229)",48.366,46.548,45.0,61.0,51.788,60.671,0.2942581907953586,0.1884902410870397,182.035071347282,182.035071347282,210.7963688462835,210.7963688462835,205.0576048170398,205.0576048170398,25.28480581696492,134.5362404707371,163.4856764792192,0.1879404815274632,67ee4528c8c5352390d5a104,30.8154545738458,650.0,30.81550245774479,180.621,209.378884,203.6482786,right,163.4856764792192,4.071106294649777,23.78072081660698,8.194439093589338,1.205454573845799,9.6145454261542,2.750545426154197,1.205502457744789,9.614497542255211,2.750497542255207,4.071268009945251,23.78060238005246,8.194296437630959,4.32519418303508,15.14519418303508,8.281194183035076,14.60720764280675,37.46028736837764,24.67137634223642,0.9979895607844133,undistorted_GX010080_193_2640,spatial_match,False,50.16578679999998,length_BoundingBox_2
undistorted_GX010080_237_3366.jpg_gamma_obj2_cropped0.536768_0.147128,1.jpg,233.2574,230.8008,232.7101,232.0291,0.3,OK,,undistorted_GX010080_237_3366.jpg_gamma,undistorted_GX010080_237_3366,0.1863307743906984,43.46303197436089,43.005291793992704,43.361053141536864,43.2341618841768,carapace,0.536768,0.147128,190,carapace:undistorted_GX010080_237_3366.jpg_gamma,Prawn_1,36.44666666666667,1.108440445951977,0.639958389851043,37.797,36.461,35.082,"(2837.9808724, 273.0005744, 174.9979692, 114.997722)","(2867.9754978, 239.9992559999999, 156.998646, 108.9987948)","(2867.9836319, 259.9986142, 156.9975407, 108.9988782)",33.232,34.695,34.695,55.036,52.038,54.083,0.2942581907953586,0.1891331568769964,209.4009677372898,209.4009677372898,191.1264296576636,191.1264296576636,191.1255692855005,191.1255692855005,32.92069128221694,174.14074767268,184.968003341247,0.1890464565139896,67ee4528c8c5352390d5a0d1,34.98358239316487,650.0,34.86471771911381,208.0195692,189.7357518,189.7339806,right,184.968003341247,0.2805359068329473,7.443494475315848,4.052049057445341,0.0984176068351345,2.813417606835131,1.477417606835147,0.2172822808861881,2.932282280886184,1.5962822808862,0.6193554554648767,7.757976243845238,4.378054032764322,2.161308717783065,4.876308717783061,3.540308717783077,6.160734045331124,12.90131152679594,9.709850848257249,0.9992579785509602,undistorted_GX010080_237_3366,spatial_match,False,51.6201676,length_BoundingBox_1
undistorted_GX010082_8_59.jpg_gamma_obj1_cropped0.467129_0.147647,1.jpg,216.9263,210.5232,209.8976,213.7247,1.8,OK,,undistorted_GX010082_8_59.jpg_gamma,undistorted_GX010082_8_59,0.1918796530815872,41.62374318827232,40.39511858162561,40.27507867065777,41.00942129096632,carapace,0.467129,0.147647,229,carapace:undistorted_GX010082_8_59.jpg_gamma,Prawn_1,34.424,1.842826271428392,1.063956243878897,34.675,36.545,32.052,"(2460.002272, 272.002536, 168.998336, 121.003142)","(2471.9794536, 271.9953642, 144.9988506, 108.999102)","(2456.010066, 264.0019644, 149.0023272, 104.999178)",35.538,36.87,35.096,59.54,49.254,56.436,0.2942581907953586,0.1894861732928722,207.8513842740555,207.8513842740555,181.3986519027292,181.3986519027292,182.2814332061593,182.2814332061593,30.29035663163888,159.5305613354382,177.7035760106895,0.1898718112572087,67ee4529c8c5352390d5a152,33.6723705987246,650.0,33.49544193251391,206.45495,179.998743,180.8886672,right,177.7035760106895,5.055443026096984,7.860526477699812,2.89150512263992,1.620370598724605,2.872629401275397,1.002629401275392,1.443441932513913,3.049558067486089,1.179558067486084,4.503437952433274,8.344665665579667,3.401753619282147,1.761643368361124,6.254643368361126,4.384643368361122,5.496204194312755,17.11490865607094,12.64497006016185,0.9982328061835144,undistorted_GX010082_8_59,spatial_match,False,48.16355800000002,length_BoundingBox_1
undistorted_GX010084_30_344.jpg_gamma_obj4_cropped0.361298_0.7201640000000001,1.jpg,196.023,192.151,191.1282,194.087,1.5,OK,,undistorted_GX010084_30_344.jpg_gamma,undistorted_GX010084_30_344,,,,,,carapace,0.361298,0.7201640000000001,289,carapace:undistorted_GX010084_30_344.jpg_gamma,Prawn_5,33.51966666666667,3.733076687607095,2.155292830495473,38.798,30.971,30.79,"(1015.998159, 1580.000937, 48.99979799999999, 188.997792)","(1856.0079453, 2228.0080656, 1.0008117, 165.001548)","(1019.9952917, 1587.991768, 41.001059, 169.0017659)",-104.323,-90.0,-103.392,50.01,52.953,56.089,0.2942581907953586,0.1851525566457582,195.2463715025609,195.2463715025609,165.0045831680297,165.0045831680297,173.9042372009374,173.9042372009374,28.88118764787916,156.2849960808782,183.0378350937805,0.1847982107823902,67ee4529c8c5352390d5a2a4,33.88992313051816,650.0,34.5008992754765,194.028798,164.0007363,172.698031,right,183.0378350937805,10.06795430502812,12.65033473241365,9.424697718892356,3.099923130518157,4.908076869481846,2.918923130518152,3.7108992754765,4.297100724523503,3.529899275476495,12.05228735133647,11.07557277314166,11.39743397202704,1.908812352120837,9.91681235212084,2.089812352120841,6.199455511922172,25.56011225352038,6.747642478837753,0.9957248347714288,undistorted_GX010084_30_344,spatial_match,False,98.33442817291733,length_BoundingBox_2
undistorted_GX010088_262_3712.jpg_gamma_obj3_cropped0.498417_0.390083,1.jpg,210.44,206.0413,206.8913,208.2406,0.6,OK,,undistorted_GX010088_262_3712.jpg_gamma,undistorted_GX010088_262_3712,0.1953468383114219,41.108788654255626,40.24951651657518,40.41556132913989,40.67914281807349,carapace,0.498417,0.390083,363,carapace:undistorted_GX010088_262_3712.jpg_gamma,Prawn_1,33.435,1.661231069618754,0.9591122052305576,31.623,35.636,33.046,"(2076.0136569, 660.0056990999999, 89.00014589999999, 145.0034757)","(2072.000256, 668.0021472, 97.00141440000002, 152.9986944)","(2067.9997296, 660.0010944, 84.9998352, 144.9976416)",-58.57,-57.724,-59.744,53.367,50.448,50.448,0.2942581907953586,0.1852380664756488,170.1382788654622,170.1382788654622,181.1570448083793,181.1570448083793,168.075245213533,168.075245213533,28.29351136333101,152.9705854077835,156.4140162454946,0.1849604699354923,67ee452ac8c5352390d5a2e1,28.97382993900615,650.0,29.48256144416079,168.7624641,179.7764928,166.7104608,right,156.4140162454946,8.377352120272755,18.69505573294942,12.32273213397643,2.649170060993853,6.662170060993855,4.072170060993852,2.140438555839207,6.153438555839209,3.563438555839205,6.768613211394261,17.26747826871481,10.78326743278825,3.329488636668994,7.342488636668996,4.752488636668993,10.52869315583276,20.60413244098383,14.38143386996609,0.990832689340602,undistorted_GX010088_262_3712,spatial_match,False,589.7239823493334,length_BoundingBox_2
undistorted_GX010088_262_3712.jpg_gamma_obj1_cropped0.622377_0.7377740000000002,1.jpg,241.6113,240.4163,234.2008,241.0138,2.8,OK,,undistorted_GX010088_262_3712.jpg_gamma,undistorted_GX010088_262_3712,0.1953468383114219,47.19800355531245,46.96456408353031,45.75038581000566,47.08128381942138,carapace,0.622377,0.7377740000000002,365,carapace:undistorted_GX010088_262_3712.jpg_gamma,Prawn_3,42.80366666666666,1.479237716603462,0.8540382938764559,41.163,42.5,44.748,"(3100.0196529, 1504.0101408, 41.00186609999999, 217.0008954)","(3091.9982784, 1496.0001264, 32.9980368, 213.0015456)","(3099.999331200001, 1483.9985472, 28.9975104, 224.99808)",-100.491,-98.584,-97.125,53.367,50.448,50.448,0.2942581907953586,0.1848169584667994,220.8405343864302,220.8405343864302,215.5424061771674,215.5424061771674,226.8589685533383,226.8589685533383,29.79664033695763,161.245154965971,172.4759699853614,0.1847909187922321,67ee452ac8c5352390d5a2df,31.87648418130547,650.0,32.5100876813597,219.6745821,214.404,225.7447104,right,172.4759699853614,22.56034744477936,28.76444940264263,24.99650780869302,9.286515818694523,12.87151581869453,10.62351581869454,8.652912318640297,12.2379123186403,9.989912318640307,21.02109253125452,27.34851237740301,23.50567604385954,11.36635966304237,14.95135966304237,12.70335966304238,27.6130497365167,33.41235287173141,29.89025803068795,0.9959711957543383,undistorted_GX010088_262_3712,spatial_match,False,510.8534143708928,length_BoundingBox_1
undistorted_GX010088_262_3712.jpg_gamma_obj4_cropped0.589329_0.508396,1.jpg,202.5438,199.7448,198.4364,201.1443,1.3,OK,,undistorted_GX010088_262_3712.jpg_gamma,undistorted_GX010088_262_3712,0.1953468383114219,39.56629094958098,39.01951514914731,38.76392334590064,39.29290304936414,carapace,0.589329,0.508396,364,carapace:undistorted_GX010088_262_3712.jpg_gamma,Prawn_2,40.21266666666667,3.321893068049535,1.917895857057551,37.477,38.273,44.888,"(2600.0188932, 1108.005654, 57.00129269999999, 193.0017555)","(2620.0017456, 1124.0016192, 44.999616, 188.9983872)","(2599.9991136, 1099.9984608, 68.9977296, 217.002072)",-106.26,-103.173,-107.475,53.367,50.448,50.448,0.2942581907953586,0.1848169584667994,201.2431986317868,201.2431986317868,194.2816404201606,194.2816404201606,227.7072373514902,227.7072373514902,29.79664033695763,161.245154965971,172.4759699853614,0.1847909187922321,67ee452ac8c5352390d5a2df,31.87648418130547,650.0,32.5100876813597,200.0035059,193.0796304,226.4509824,right,172.4759699853614,14.94387442616678,28.98662408370728,16.71286760560847,5.600515818694525,13.01151581869453,6.396515818694532,4.966912318640297,12.3779123186403,5.762912318640304,13.25322816298075,27.57510318713308,15.05738332150682,7.680359663042367,15.09135966304237,8.476359663042373,20.49352846557186,33.62003132918011,22.14710020913535,0.9959711957543383,undistorted_GX010088_262_3712,spatial_match,False,503.8240244811142,length_BoundingBox_3
