image_name,big_total_length,big_carapace_length,big_eye_x,big_eye_y,small_total_length,small_carapace_length,small_eye_x,small_eye_y,Big_pixels_total_length,Big_pixels_carapace_length,Small_pixels_total_length,Small_pixels_carapace_length
undistorted_GX010191_100_1250.jpg,175.2,44.3,4175.5,814.2,138.6,34.8,2861.3,1433.4,888.9,211.9,693.0,176.7
undistorted_GX010191_101_1265.jpg,180.8,44.4,3851.4,651.9,,,,,917.3,212.2,,
undistorted_GX010191_103_1289.jpg,178.9,49.0,3170.0,578.0,139.6,34.7,2814.6,1969.6,907.8,234.7,698.0,176.3
undistorted_GX010191_104_1301.jpg,197.4,52.4,2895.9,665.9,137.6,34.1,2947.7,2113.5,1001.5,250.9,688.0,173.1
undistorted_GX010191_105_1312.jpg,190.6,47.3,2792.5,910.2,146.5,36.8,3238.0,2205.4,967.2,226.4,732.5,186.7
undistorted_GX010191_106_1320.jpg,167.5,45.7,2689.5,1163.5,,,,,850.0,218.5,,
undistorted_GX010191_107_1330.jpg,179.8,51.0,2578.7,1469.5,126.2,24.6,3653.4,2201.5,912.4,244.1,631.0,124.6
undistorted_GX010191_109_1347.jpg,178.5,47.8,2842.9,1818.4,151.2,33.2,4148.5,1927.3,905.8,228.5,755.8,168.6
undistorted_GX010191_10_370.jpg,,,,,142.5,34.7,3275.6,1976.4,,,712.5,166.2
undistorted_GX010191_110_1355.jpg,,,,,143.9,30.7,4396.5,1709.1,,,719.5,147.1
undistorted_GX010191_114_1383.jpg,,,,,148.7,35.1,4775.6,487.1,,,743.5,167.9
undistorted_GX010191_116_1399.jpg,172.2,44.6,4098.0,1215.7,,,,,873.8,213.2,,
undistorted_GX010191_117_1408.jpg,173.3,45.4,4093.2,941.3,,,,,879.2,217.2,,
undistorted_GX010191_118_1415.jpg,188.5,45.9,4084.1,666.2,,,,,956.6,219.5,,
undistorted_GX010191_11_391.jpg,177.8,43.8,4421.4,869.6,126.3,42.6,3483.5,1929.8,902.4,209.7,631.5,216.4
undistorted_GX010191_14_460.jpg,180.3,48.1,3230.8,1075.8,,,,,914.9,230.3,,
undistorted_GX010191_15_479.jpg,,,,,138.9,39.4,4083.0,2576.3,,,694.3,188.6
undistorted_GX010191_16_495.jpg,,,,,141.3,28.6,4310.0,2736.7,,,706.1,137.0
undistorted_GX010191_17_509.jpg,182.7,48.4,3467.9,2445.6,139.6,35.6,780.1,2760.0,927.3,231.5,697.6,180.9
undistorted_GX010191_26_199.jpg,178.7,41.5,3693.2,642.2,,,,,906.8,198.4,,
undistorted_GX010191_27_215.jpg,192.0,44.3,3732.6,956.1,,,,,974.3,212.1,,
undistorted_GX010191_28_230.jpg,196.3,47.4,3898.5,1231.9,154.4,36.6,2680.0,408.3,995.9,226.9,771.7,185.7
undistorted_GX010191_31_283.jpg,176.0,39.1,3738.9,2030.3,,,,,893.2,187.0,,
undistorted_GX010191_32_1049.jpg,171.1,45.3,3272.6,936.3,,,,,868.1,216.7,,
undistorted_GX010191_32_305.jpg,199.1,44.9,3949.7,2264.9,158.7,37.0,2916.1,1451.4,1010.1,215.0,793.3,187.9
undistorted_GX010191_34_1128.jpg,187.7,44.6,3706.9,1819.0,138.3,33.9,3431.8,454.5,952.2,213.5,691.3,172.0
undistorted_GX010191_34_350.jpg,184.1,43.3,4439.2,2043.8,154.7,35.6,3141.2,1908.9,934.2,207.2,773.4,180.9
undistorted_GX010191_35_1167.jpg,201.5,51.0,4144.3,1699.1,155.3,35.9,3271.9,678.1,1022.3,244.1,776.5,182.2
undistorted_GX010191_35_367.jpg,174.3,43.9,4549.9,1626.1,143.9,32.8,3237.3,1989.5,884.5,210.2,719.2,166.4
undistorted_GX010191_36_1195.jpg,181.9,43.0,4589.6,1178.4,149.2,34.3,3197.9,765.1,923.2,205.7,745.6,174.2
undistorted_GX010191_37_1242.jpg,190.1,46.0,4279.4,817.0,150.5,36.7,2924.2,1226.3,964.4,219.9,752.3,186.3
undistorted_GX010191_38_1266.jpg,176.3,43.4,3847.1,647.7,150.0,40.5,2821.3,1621.4,894.4,207.5,749.8,205.6
undistorted_GX010191_41_1322.jpg,178.8,47.9,2700.2,1187.9,122.2,28.5,3537.3,2270.2,907.2,229.1,610.7,144.7
undistorted_GX010191_41_445.jpg,198.4,48.4,3311.2,528.9,,,,,1006.9,231.6,,
undistorted_GX010191_42_1339.jpg,184.4,48.0,2779.0,1643.1,152.5,0.0,0.0,0.0,935.6,229.4,762.4,0.0
undistorted_GX010191_42_457.jpg,175.5,45.4,3271.9,949.3,,,,,890.7,217.4,,
