image_name,prawn_id,meas_1,meas_2,meas_3,avg,std,dev_pct,flag
undistorted_GX010067_33_625.jpg_gamma_obj1_cropped0.272177_0.696292,1.jpg,885.7991,887.5275,895.0441,886.6633,0.9,OK,
,,,,,,,,
undistorted_GX010068_26_666.jpg_gamma_obj1_cropped0.540877_0.669256,1.jpg,697.6855,699.4119,705.5105,698.5487,1,OK,
,,,,,,,,
undistorted_GX010068_27_795.jpg_gamma_obj1_cropped0.552035_0.17379999999999998,1.jpg,768.4068,773.2095,789.6487,770.8082,2.4,OK,
,,,,,,,,
undistorted_GX010069_19_191.jpg_gamma_obj1_cropped0.165613_0.393015,1.jpg,620.0556,627.8551,636.4629,623.9554,2,OK,
,,,,,,,,
undistorted_GX010069_53_796.jpg_gamma_obj1_cropped0.63723_0.18312999999999996,1.jpg,784.3673,800.9994,800.5623,792.6833,1,OK,
,,,,,,,,
undistorted_GX010071_22_444.jpg_gamma_obj1_cropped0.157858_0.757993,1.jpg,694.7841,690.0065,708.0177,692.3953,2.3,OK,
,,,,,,,,
undistorted_GX010073_42_695.jpg_gamma_obj1_cropped0.233215_0.16234,1.jpg,498.9078,504.3858,498.0361,501.6468,0.7,OK,
,,,,,,,,
undistorted_GX010073_55_1014.jpg_gamma_obj1_cropped0.589214_0.213622,1.jpg,669.0269,657.1096,651.0069,663.0682,1.8,OK,
,,,,,,,,
undistorted_GX010077_14_237.jpg_gamma_obj1_cropped0.807605_0.751737,1.jpg,589.1706,602.0507,587.7287,595.6106,1.3,OK,
,,,,,,,,
undistorted_GX010080_157_2283.jpg_gamma_obj1_cropped0.318029_0.7344440000000001,1.jpg,768.2044,762.5287,750.9361,765.3665,1.9,OK,
,,,,,,,,
undistorted_GX010080_157_2283.jpg_gamma_obj6_cropped0.934954_0.600816,1.jpg,540.2685,550.6769,549.8309,545.4727,0.8,OK,
,,,,,,,,
undistorted_GX010080_193_2640.jpg_gamma_obj1_cropped0.641363_0.187963,1.jpg,695.0827,704.2478,697.4274,699.6653,0.3,OK,
,,,,,,,,
undistorted_GX010080_193_2640.jpg_gamma_obj6_cropped0.977592_0.40668,1.jpg,285.4137,286.6775,280.708,286.0456,1.9,OK,
,,,,,,,,
undistorted_GX010080_212_2954.jpg_gamma_obj1_cropped0.715335_0.24153,1.jpg,779.2644,768.909,777.2619,774.0867,0.4,OK,
,,,,,,,,
undistorted_GX010080_237_3366.jpg_gamma_obj1_cropped0.786939_0.100473,1.jpg,580.8038,587.6164,579.1416,584.2101,0.9,OK,
,,,,,,,,
undistorted_GX010080_237_3366.jpg_gamma_obj6_cropped0.9575199999999999_0.0647774,1.jpg,409.5754,420.2142,426.7552,414.8948,2.9,OK,
,,,,,,,,
undistorted_GX010080_238_3392.jpg_gamma_obj1_cropped0.473451_0.308475,1.jpg,775.6043,758.6013,767.4073,767.1028,0,OK,
,,,,,,,,
undistorted_GX010080_238_3392.jpg_gamma_obj6_cropped0.575557_0.0703528,1.jpg,413.0726,416.4541,415.0976,414.7634,0.1,OK,
,,,,,,,,
undistorted_GX010082_236_3137.jpg_gamma_obj1_cropped0.476971_0.301475,1.jpg,795.4634,810.0827,794.61,802.773,1,OK,
,,,,,,,,
undistorted_GX010082_53_796.jpg_gamma_obj1_cropped0.723353_0.425668,1.jpg,828.0706,837.1529,842.8155,832.6118,1.2,OK,
,,,,,,,,
undistorted_GX010082_65_1070.jpg_gamma_obj1_cropped0.8137599999999999_0.256097,1.jpg,773.0103,783.8552,792.4065,778.4328,1.8,OK,
,,,,,,,,
undistorted_GX010082_8_59.jpg_gamma_obj1_cropped0.467129_0.147647,1.jpg,784.547,803.4407,811.2441,793.9939,2.2,OK,
,,,,,,,,
undistorted_GX010082_8_59.jpg_gamma_obj6_cropped0.259021_0.829126,1.jpg,436.235,428.5849,425.5643,432.41,1.6,OK,
,,,,,,,,
undistorted_GX010084_130_1748.jpg_gamma_obj1_cropped0.176565_0.634902,1.jpg,624.9288,620.2104,627.1467,622.5696,0.7,OK,
,,,,,,,,
undistorted_GX010084_167_2291.jpg_gamma_obj1_cropped0.977356_0.637463,1.jpg,474.4892,476.4032,489.418,475.4462,2.9,OK,
,,,,,,,,
undistorted_GX010084_30_344.jpg_gamma_obj1_cropped0.810401_0.21446000000000004,1.jpg,669.6059,668.4108,660,669.0083,1.3,OK,
,,,,,,,,
undistorted_GX010085_261_3610.jpg_gamma_obj1_cropped0.622424_0.861012,1.jpg,483.6621,483.2236,470.9236,483.4428,2.6,OK,
,,,,,,,,
undistorted_GX010085_263_3738.jpg_gamma_obj1_cropped0.9774890000000002_0.481539,1.jpg,588.7657,586.4214,583.9452,587.5935,0.6,OK,
,,,,,,,,
undistorted_GX010088_209_2904.jpg_gamma_obj1_cropped0.706544_0.162394,1.jpg,666.0848,655.1618,673.0119,660.6233,1.9,OK,
,,,,,,,,
undistorted_GX010088_262_3712.jpg_gamma_obj1_cropped0.622377_0.7377740000000002,1.jpg,692.3121,701,714.2332,696.656,2.5,OK,
,,,,,,,,
undistorted_GX010088_262_3712.jpg_gamma_obj6_cropped0.980479_0.542982,1.jpg,464.0528,456.4833,461.244,460.268,0.2,OK,
,,,,,,,,
undistorted_GX010088_327_4364.jpg_gamma_obj1_cropped0.10054299999999998_0.59776,1.jpg,652.2224,642.8717,652.2162,647.547,0.7,OK,
,,,,,,,,
undistorted_GX010089_11_236.jpg_gamma_obj1_cropped0.856459_0.40323700000000007,1.jpg,470.7717,465.8508,455.0527,468.3113,2.8,OK,
,,,,,,,,
undistorted_GX010090_132_1852.jpg_gamma_obj1_cropped0.290046_0.866326,1.jpg,541.0009,538.0232,537.0456,539.5121,0.5,OK,
,,,,,,,,
undistorted_GX010091_5_149.jpg_gamma_obj1_cropped0.48227499999999995_0.498148,1.jpg,548.8761,563.9087,558.4344,556.3924,0.4,OK,
,,,,,,,,
undistorted_GX010091_5_149.jpg_gamma_obj6_cropped0.46567000000000003_0.839688,1.jpg,250.4276,251.9623,251.2946,251.195,0,OK,
,,,,,,,,
undistorted_GX010094_24_430.jpg_gamma_obj1_cropped0.736605_0.309247,1.jpg,571.0079,576.7538,581.173,573.8809,1.3,OK,
,,,,,,,,
undistorted_GX010094_93_1258.jpg_gamma_obj1_cropped0.980272_0.17472200000000002,1.jpg,336.2142,335.9315,333.8637,336.0729,0.7,OK,
,,,,,,,,
undistorted_GX010094_9_129.jpg_gamma_obj1_cropped0.409259_0.942629,1.jpg,737.5208,727.2008,711.8321,732.3608,2.8,OK,
,,,,,,,,
undistorted_GX010096_107_1571.jpg_gamma_obj1_cropped0.415727_0.621939,1.jpg,501.5277,506.1314,514.2344,503.8295,2.1,OK,
,,,,,,,,
undistorted_GX010097_105_1651.jpg_gamma_obj1_cropped0.511395_0.17872,1.jpg,826.7001,842.72,822.7958,834.71,1.4,OK,
,,,,,,,,
