                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5575,                0.45095,                 0.2345,                 1.1366,                 1.3513,                0.84395,                0.88029,                0.91461,                0.53904,                0.86209,                0.90034,                0.93443,                0.92909,                  1.424,                0.10983,                0.02194,                0.77839,                 1.3443,              0.0033253,              0.0033253,              0.0033253
                      2,                  1.413,                 0.1213,                0.09008,                0.79326,                  1.255,                0.87732,                0.87092,                0.90816,                0.55595,                0.88055,                0.89227,                0.92454,                0.91973,                 1.3838,                0.10586,                0.01061,                0.78931,                 1.2869,              0.0066367,              0.0066367,              0.0066367
                      3,                 1.4305,                0.11719,                0.07413,                0.79872,                 1.2632,                0.88234,                0.86054,                0.91346,                0.54958,                0.89345,                0.87387,                 0.9337,                0.91613,                 1.4158,                0.15938,                0.00954,                0.83474,                 1.3428,              0.0099261,              0.0099261,              0.0099261
                      4,                 1.4381,                0.10094,                 0.0705,                0.82448,                 1.2969,                0.86981,                0.86183,                   0.92,                0.56056,                0.87895,                0.87577,                0.93465,                 0.9313,                 1.4012,                 0.0669,                0.00406,                0.83824,                 1.4231,               0.009901,               0.009901,               0.009901
                      5,                 1.4067,                0.09072,                0.06501,                0.78821,                 1.2936,                0.84635,                0.89656,                0.90876,                0.52372,                0.85653,                0.90883,                0.92571,                0.92258,                 1.4423,                0.06759,                0.00362,                0.78523,                 1.4517,               0.009868,               0.009868,               0.009868
                      6,                 1.3799,                0.08911,                0.06067,                0.75073,                 1.2935,                0.87252,                0.88993,                0.92807,                0.57091,                0.88055,                0.89813,                0.93765,                0.93348,                 1.3684,                0.07325,                0.00585,                0.71905,                 1.4027,               0.009835,               0.009835,               0.009835
                      7,                  1.352,                0.08022,                0.05597,                0.72193,                 1.2808,                0.87873,                0.88246,                0.91968,                0.55678,                0.88692,                 0.8909,                0.93156,                0.92944,                 1.4083,                0.05543,                0.00466,                0.73006,                 1.4357,               0.009802,               0.009802,               0.009802
                      8,                 1.3285,                0.07472,                0.05594,                0.69941,                 1.2725,                 0.8705,                0.87588,                0.91048,                0.55385,                0.87795,                0.89289,                0.92759,                0.92501,                 1.4085,                0.05822,                0.00149,                0.68828,                  1.454,               0.009769,               0.009769,               0.009769
                      9,                  1.294,                0.07333,                0.05254,                0.67102,                 1.2474,                0.86379,                0.88407,                0.92267,                0.57169,                0.87596,                0.89696,                0.93914,                 0.9358,                 1.3798,                0.06996,                0.00802,                0.68631,                 1.4216,               0.009736,               0.009736,               0.009736
                     10,                 1.2753,                  0.072,                0.05004,                0.65478,                 1.2443,                0.86297,                0.89461,                0.92692,                0.57487,                0.86723,                0.90984,                0.94082,                0.93793,                 1.3776,                0.05552,                0.00276,                0.66952,                 1.4209,               0.009703,               0.009703,               0.009703
                     11,                 1.2621,                 0.0707,                0.05036,                0.63488,                 1.2373,                0.85545,                0.90779,                0.92095,                0.56251,                0.86784,                0.92272,                0.94061,                0.93797,                 1.4006,                0.06809,                0.00127,                0.66366,                  1.439,                0.00967,                0.00967,                0.00967
                     12,                 1.2276,                0.06558,                0.05004,                0.61424,                 1.2268,                0.89259,                0.87581,                0.91979,                0.57002,                0.89384,                0.89578,                0.94032,                0.93752,                 1.3901,                0.05891,                 0.0035,                0.67448,                 1.4444,               0.009637,               0.009637,               0.009637
                     13,                 1.2147,                0.06636,                0.04926,                0.61096,                 1.2206,                0.88968,                0.87354,                0.92634,                 0.5799,                0.89564,                0.87939,                0.94137,                 0.9387,                 1.3807,                0.05698,                0.00157,                 0.6713,                 1.4268,               0.009604,               0.009604,               0.009604
                     14,                 1.1913,                0.06332,                0.04826,                0.59143,                 1.2083,                0.89444,                0.87705,                0.93362,                 0.5946,                0.90041,                 0.8829,                0.94733,                0.94493,                 1.3565,                0.05977,                0.00147,                0.64167,                 1.4232,               0.009571,               0.009571,               0.009571
                     15,                 1.1725,                0.06177,                0.04709,                0.57796,                  1.192,                0.89899,                0.87002,                0.91903,                0.57293,                0.90397,                0.88173,                0.94089,                0.93844,                 1.4098,                0.05957,                0.00504,                0.67799,                 1.4701,               0.009538,               0.009538,               0.009538
                     16,                 1.1495,                0.06389,                0.04835,                0.56689,                 1.1875,                0.88233,                 0.8911,                0.92386,                0.57997,                0.88928,                0.89813,                0.93852,                 0.9359,                 1.4022,                0.06035,                0.00275,                0.65323,                 1.4643,               0.009505,               0.009505,               0.009505
                     17,                 1.1268,                0.05771,                0.04145,                0.55137,                 1.1773,                0.86259,                0.88944,                0.92419,                0.57514,                 0.8781,                0.90632,                0.94365,                0.94075,                 1.4375,                 0.0573,                0.00295,                0.66382,                 1.4804,               0.009472,               0.009472,               0.009472
                     18,                 1.1072,                0.05831,                0.04336,                0.53859,                  1.167,                0.90662,                0.86406,                0.93225,                0.58411,                 0.9118,                0.87157,                0.94483,                0.94231,                 1.4021,                0.05695,                0.00206,                0.66286,                 1.4595,               0.009439,               0.009439,               0.009439
                     19,                 1.0925,                0.05916,                0.04354,                0.53424,                  1.159,                0.87331,                0.87981,                0.92409,                0.57281,                0.87081,                0.90771,                0.94153,                0.93912,                 1.4293,                0.05318,                0.00409,                0.67764,                 1.4893,               0.009406,               0.009406,               0.009406
                     20,                  1.069,                0.05413,                0.04566,                0.51601,                 1.1452,                0.89368,                0.87237,                 0.9273,                0.58748,                0.90061,                0.88063,                0.94106,                0.93873,                 1.3904,                0.05348,                0.00153,                0.66162,                 1.4645,               0.009373,               0.009373,               0.009373
                     21,                 1.0515,                0.05682,                 0.0431,                0.51141,                 1.1338,                0.88247,                0.87043,                0.91551,                0.55974,                0.88632,                0.89344,                 0.9362,                0.93422,                 1.4678,                0.05482,                0.00573,                0.70753,                  1.522,                0.00934,                0.00934,                0.00934
                     22,                 1.0313,                 0.0561,                0.04064,                0.50449,                 1.1227,                0.87584,                0.89461,                0.92106,                0.56908,                0.88326,                0.90368,                0.93818,                0.93661,                  1.425,                0.05248,                0.00255,                0.66368,                 1.5092,               0.009307,               0.009307,               0.009307
                     23,                 1.0094,                 0.0545,                0.04094,                0.49086,                 1.1092,                0.87367,                0.89079,                0.92046,                0.58185,                0.88852,                0.90749,                0.93887,                 0.9361,                 1.4019,                0.05758,                0.00253,                0.64952,                 1.4881,               0.009274,               0.009274,               0.009274
                     24,                0.99115,                0.05406,                0.04181,                0.48356,                 1.1064,                0.87408,                0.88876,                0.91952,                0.57433,                 0.8879,                0.90281,                0.93368,                0.93159,                 1.4268,                0.05836,                0.00253,                 0.6655,                 1.5078,               0.009241,               0.009241,               0.009241
                     25,                0.98792,                0.05346,                0.04004,                0.47679,                 1.1014,                 0.8844,                0.90481,                0.93498,                0.58077,                0.89012,                0.91067,                 0.9445,                0.94272,                 1.4138,                 0.0561,                0.00251,                0.63613,                 1.5112,               0.009208,               0.009208,               0.009208
                     26,                0.96515,                0.05421,                0.04121,                0.46678,                 1.0832,                0.90726,                0.87588,                0.92405,                0.58419,                0.90497,                0.89208,                0.93512,                0.93322,                 1.4238,                0.05902,                0.00273,                0.65763,                 1.5205,               0.009175,               0.009175,               0.009175
                     27,                0.95242,                0.05152,                 0.0395,                0.46257,                 1.0807,                0.87483,                0.88388,                0.92154,                0.58594,                0.88791,                0.89976,                0.93851,                0.93621,                 1.3885,                0.05751,                0.00181,                0.65005,                 1.5011,               0.009142,               0.009142,               0.009142
                     28,                0.93578,                0.05158,                0.04077,                0.45632,                 1.0784,                0.89992,                0.86344,                0.92308,                0.56702,                0.89497,                0.87939,                0.93965,                0.93797,                 1.4565,                0.06026,                0.00224,                0.68015,                 1.5617,               0.009109,               0.009109,               0.009109
                     29,                0.92247,                 0.0519,                0.03496,                0.44321,                 1.0722,                 0.8755,                 0.8993,                0.92673,                0.57746,                  0.887,                0.91101,                0.94355,                0.94108,                 1.4418,                0.05196,                0.00201,                0.65567,                 1.5664,               0.009076,               0.009076,               0.009076
                     30,                0.91019,                0.05064,                0.03829,                 0.4404,                 1.0567,                0.89899,                0.87237,                 0.9232,                0.57921,                 0.8985,                0.89144,                0.93736,                0.93558,                 1.4419,                0.05189,                0.00291,                0.66987,                 1.5541,               0.009043,               0.009043,               0.009043
