COMPLETE DETAILED RESULTS TABLE - ALL 63 MEASUREMENTS
======================================================================================================================================================

IDX  IMAGE_NAME                               POND    SIZE   PRED_MM  REAL_MM  MAE_MM  MAPE_%  PX_TOTAL  PX_SHAI  SCALE_ρ    IoU   
------------------------------------------------------------------------------------------------------------------------------------------------------
1    undistorted_GX010191_8_309.jpg           Circle  big    179.7    180      0.3     0.2     958       913      0.032      0.337 
2    undistorted_GX010191_37_1242.jpg         Circle  big    181.3    180      1.3     0.7     956       982      0.275      0.633 
3    undistorted_GX010191_118_1415.jpg        Circle  big    171.1    180      8.9     5.0     908       1039     0.395      0.757 
4    undistorted_GX010191_5_190.jpg           Circle  big    172.0    180      8.0     4.4     917       1029     0.408      0.110 
5    undistorted_GX010191_105_1312.jpg        Circle  big    174.2    180      5.8     3.2     925       993      0.467      0.510 
6    undistorted_GX010191_17_509.jpg          Circle  big    174.9    180      5.1     2.8     928       877      0.484      0.441 
7    undistorted_GX010191_90_1036.jpg         Circle  big    170.7    180      9.3     5.2     905       1009     0.503      0.689 
8    undistorted_GX010191_100_1250.jpg        Circle  big    164.7    180      15.3    8.5     867       1017     0.578      0.613 
9    undistorted_GX010191_36_1195.jpg         Circle  big    172.9    180      7.1     3.9     920       982      0.624      0.625 
10   undistorted_GX010191_42_457.jpg          Circle  big    163.9    180      16.1    9.0     873       1012     0.653      0.479 
11   undistorted_GX010191_117_1408.jpg        Circle  big    168.9    180      11.1    6.1     893       979      0.704      0.666 
12   undistorted_GX010191_101_1265.jpg        Circle  big    159.3    180      20.7    11.5    836       993      0.724      0.145 
13   undistorted_GX010191_38_1266.jpg         Circle  big    146.3    180      33.7    18.7    767       1001     0.802      0.125 
14   undistorted_GX010191_32_305.jpg          Circle  big    191.5    180      11.5    6.4     1021      948      0.829      0.330 
15   undistorted_GX010191_94_1132.jpg         Circle  big    156.7    180      23.3    12.9    832       971      0.904      0.728 
16   undistorted_GX010191_14_460.jpg          Circle  big    162.5    180      17.5    9.7     866       965      0.944      0.413 
17   undistorted_GX010191_46_1396.jpg         Circle  big    159.9    180      20.1    11.2    842       954      0.949      0.592 
18   undistorted_GX010191_106_1320.jpg        Circle  big    150.4    180      29.6    16.4    802       965      0.973      0.343 
19   undistorted_GX010191_41_1322.jpg         Circle  big    169.0    180      11.0    6.1     901       959      1.011      0.286 
20   undistorted_GX010191_34_350.jpg          Circle  big    175.4    180      4.6     2.6     929       953      1.030      0.648 
21   undistorted_GX010191_10_370.jpg          Circle  big    144.7    180      35.3    19.6    763       939      1.044      0.617 
22   undistorted_GX010191_34_1128.jpg         Circle  big    169.7    180      10.3    5.7     900       950      1.081      0.666 
23   undistorted_GX010191_35_1167.jpg         Circle  big    200.5    180      20.5    11.4    1069      971      1.126      0.157 
24   undistorted_GX010191_42_1339.jpg         Circle  big    166.6    180      13.4    7.4     886       945      1.202      0.486 
25   undistorted_GX010191_110_1355.jpg        Circle  big    162.4    180      17.6    9.8     857       928      1.279      0.569 
26   undistorted_GX010191_15_479.jpg          Circle  big    159.4    180      20.6    11.4    850       932      1.302      0.013 
27   undistorted_GX010191_47_507.jpg          Circle  big    170.3    180      9.7     5.4     905       873      1.448      0.500 
28   undistorted_GX010191_16_495.jpg          Circle  big    157.0    180      23.0    12.8    836       914      1.497      0.430 
29   undistorted_GX010191_35_367.jpg          Circle  big    171.6    180      8.4     4.6     905       926      2.071      0.626 
30   undistorted_GX010191_28_230.jpg          Circle  big    201.1    180      21.1    11.7    1072      1024     2.489      0.288 
31   undistorted_GX010191_88_1016.jpg         Circle  big    190.4    180      10.4    5.8     1014      1038     2.513      0.496 
32   undistorted_GX010191_36_1195.jpg         Circle  small  144.8    145      0.2     0.1     741       769      0.028      0.582 
33   undistorted_GX010191_35_367.jpg          Circle  small  146.1    145      1.1     0.8     753       706      0.119      0.346 
34   undistorted_GX010191_38_1266.jpg         Circle  small  148.2    145      3.2     2.2     767       716      0.313      0.159 
