image_name,big_total_length,big_carapace_length,big_eye_x,big_eye_y,small_total_length,small_carapace_length,small_eye_x,small_eye_y,Big_pixels_total_length,Big_pixels_carapace_length,Small_pixels_total_length,Small_pixels_carapace_length
undistorted_GX010191_90_1036.jpg,196.6,49.3,3229.3,791.8,,,,,997.6,236.0,,
undistorted_GX010191_35_1167.jpg,201.5,51.0,4144.3,1699.1,155.3,35.9,3271.9,678.1,1022.3,244.1,776.5,182.2
undistorted_GX010191_28_230.jpg,196.3,47.4,3898.5,1231.9,154.4,36.6,2680.0,408.3,995.9,226.9,771.7,185.7
undistorted_GX010191_114_1383.jpg,,,,,148.7,35.1,4775.6,487.1,,,743.5,167.9
undistorted_GX010191_94_1132.jpg,174.7,39.0,3734.3,1889.7,131.2,32.7,3435.0,517.9,886.6,186.3,655.9,166.0
undistorted_GX010191_16_495.jpg,,,,,141.3,28.6,4310.0,2736.7,,,706.1,137.0
undistorted_GX010191_5_190.jpg,201.0,47.0,3677.9,604.6,,,,,1020.0,225.0,,
undistorted_GX010191_14_460.jpg,180.3,48.1,3230.8,1075.8,,,,,914.9,230.3,,
undistorted_GX010191_35_367.jpg,174.3,43.9,4549.9,1626.1,143.9,32.8,3237.3,1989.5,884.5,210.2,719.2,166.4
undistorted_GX010191_88_1016.jpg,185.8,49.3,3261.5,505.5,,,,,943.0,235.8,,
undistorted_GX010191_17_509.jpg,182.7,48.4,3467.9,2445.6,139.6,35.6,780.1,2760.0,927.3,231.5,697.6,180.9
undistorted_GX010191_8_309.jpg,195.1,44.9,3892.2,2265.3,157.4,34.7,2899.3,1448.1,990.0,214.9,787.0,176.1
undistorted_GX010191_10_370.jpg,,,,,142.5,34.7,3275.6,1976.4,,,712.5,166.2
undistorted_GX010191_105_1312.jpg,190.6,47.3,2792.5,910.2,146.5,36.8,3238.0,2205.4,967.2,226.4,732.5,186.7
undistorted_GX010191_46_1396.jpg,165.8,45.6,4094.4,1341.9,,,,,841.3,218.0,,
undistorted_GX010191_100_1250.jpg,175.2,44.3,4175.5,814.2,138.6,34.8,2861.3,1433.4,888.9,211.9,693.0,176.7
undistorted_GX010191_32_305.jpg,199.1,44.9,3949.7,2264.9,158.7,37.0,2916.1,1451.4,1010.1,215.0,793.3,187.9
undistorted_GX010191_117_1408.jpg,173.3,45.4,4093.2,941.3,,,,,879.2,217.2,,
undistorted_GX010191_47_507.jpg,180.2,47.3,3395.6,2412.6,154.0,32.8,4636.6,2687.8,914.3,226.4,769.9,166.5
undistorted_GX010191_27_215.jpg,192.0,44.3,3732.6,956.1,,,,,974.3,212.1,,
undistorted_GX010191_42_1339.jpg,184.4,48.0,2779.0,1643.1,152.5,0.0,0.0,0.0,935.6,229.4,762.4,0.0
undistorted_GX010191_34_1128.jpg,187.7,44.6,3706.9,1819.0,138.3,33.9,3431.8,454.5,952.2,213.5,691.3,172.0
undistorted_GX010191_41_1322.jpg,178.8,47.9,2700.2,1187.9,122.2,28.5,3537.3,2270.2,907.2,229.1,610.7,144.7
undistorted_GX010191_101_1265.jpg,180.8,44.4,3851.4,651.9,,,,,917.3,212.2,,
