image_name,target_confidence,object_confidence,object_poses,detection,which
undistorted_GX010191_15_479,0.76,0.758438,"[0.758122, 0.86973, 0.999739, 0.728687, 0.881113, 0.999844, 0.707809, 0.885143, 0.999248, 0.827013, 0.836563, 0.997457, 0.758438]",0 0.763281 0.863889 0.135937 0.0888889 0.758122 0.86973 0.999739 0.728687 0.881113 0.999844 0.707809 0.885143 0.999248 0.827013 0.836563 0.997457 0.758438,small
undistorted_GX010191_43_1353,0.67,0.667992,"[0.579579, 0.628887, 0.999851, 0.551124, 0.583834, 0.99969, 0.530581, 0.550717, 0.995993, 0.643792, 0.739527, 0.999145, 0.667992]",0 0.580469 0.629167 0.142188 0.225 0.579579 0.628887 0.999851 0.551124 0.583834 0.99969 0.530581 0.550717 0.995993 0.643792 0.739527 0.999145 0.667992,big
undistorted_GX010191_35_367,0.72,0.718095,"[0.608501, 0.669694, 0.999498, 0.618511, 0.618712, 0.998652, 0.62851, 0.582685, 0.985239, 0.577684, 0.788875, 0.999455, 0.718095]",0 0.602344 0.673611 0.0828125 0.252778 0.608501 0.669694 0.999498 0.618511 0.618712 0.998652 0.62851 0.582685 0.985239 0.577684 0.788875 0.999455 0.718095,small
undistorted_GX010191_94_1132,0.8,0.798799,"[0.655655, 0.176001, 0.999853, 0.692753, 0.202548, 0.999715, 0.717759, 0.219395, 0.998295, 0.576068, 0.122402, 0.998811, 0.798799]",0 0.647656 0.175 0.157813 0.133333 0.655655 0.176001 0.999853 0.692753 0.202548 0.999715 0.717759 0.219395 0.998295 0.576068 0.122402 0.998811 0.798799,small
undistorted_GX010191_33_331,0.23,0.232108,"[0.564166, 0.571093, 0.999775, 0.59127, 0.539738, 0.998441, 0.613548, 0.520442, 0.950608, 0.498857, 0.686383, 0.997395, 0.232108]",0 0.564062 0.584722 0.159375 0.219444 0.564166 0.571093 0.999775 0.59127 0.539738 0.998441 0.613548 0.520442 0.950608 0.498857 0.686383 0.997395 0.232108,small
undistorted_GX010191_10_370,0.8,0.79576,"[0.609669, 0.687348, 0.999558, 0.617981, 0.63752, 0.999408, 0.626264, 0.601225, 0.996527, 0.586968, 0.791727, 0.999301, 0.79576]",0 0.608594 0.686111 0.0734375 0.238889 0.609669 0.687348 0.999558 0.617981 0.63752 0.999408 0.626264 0.601225 0.996527 0.586968 0.791727 0.999301 0.79576,small
undistorted_GX010191_29_257,0.58,0.582494,"[0.528967, 0.241881, 0.999682, 0.564889, 0.216517, 0.998713, 0.590248, 0.205662, 0.975319, 0.443122, 0.340712, 0.987798, 0.582494]",0 0.528125 0.263889 0.16875 0.177778 0.528967 0.241881 0.999682 0.564889 0.216517 0.998713 0.590248 0.205662 0.975319 0.443122 0.340712 0.987798 0.582494,small
undistorted_GX010191_29_257,0.58,0.580227,"[0.0695869, 0.190863, 0.999007, 0.0683153, 0.143304, 0.997488, 0.0703202, 0.110315, 0.973439, 0.0741083, 0.30245, 0.999656, 0.580227]",0 0.071875 0.206944 0.05 0.213889 0.0695869 0.190863 0.999007 0.0683153 0.143304 0.997488 0.0703202 0.110315 0.973439 0.0741083 0.30245 0.999656 0.580227,small
undistorted_GX010191_17_509,0.23,0.231729,"[0.892383, 0.877092, 0.998923, 0.867232, 0.927015, 0.998259, 0.85021, 0.959029, 0.977035, 0.936765, 0.780051, 0.993605, 0.231729]",0 0.879687 0.879167 0.128125 0.219444 0.892383 0.877092 0.998923 0.867232 0.927015 0.998259 0.85021 0.959029 0.977035 0.936765 0.780051 0.993605 0.231729,small
undistorted_GX010191_17_509,0.23,0.231721,"[0.841301, 0.70077, 0.998687, 0.875404, 0.703954, 0.997256, 0.89971, 0.703115, 0.985225, 0.748955, 0.704765, 0.999325, 0.231721]",0 0.827344 0.709722 0.170312 0.0805556 0.841301 0.70077 0.998687 0.875404 0.703954 0.997256 0.89971 0.703115 0.985225 0.748955 0.704765 0.999325 0.231721,small
undistorted_GX010191_8_309,0.36,0.36316,"[0.549525, 0.472486, 0.999872, 0.581499, 0.454597, 0.999814, 0.603378, 0.446475, 0.998415, 0.469464, 0.538301, 0.992667, 0.36316]",0 0.539844 0.493056 0.160938 0.158333 0.549525 0.472486 0.999872 0.581499 0.454597 0.999814 0.603378 0.446475 0.998415 0.469464 0.538301 0.992667 0.36316,small
undistorted_GX010191_9_346,0.53,0.532949,"[0.988729, 0.605395, 0.587667, 0.0, 0.0, 0.420868, 0.0, 0.0, 0.298111, 0.967876, 0.569279, 0.955411, 0.532949]",0 0.977344 0.606944 0.0421875 0.141667 0.988729 0.605395 0.587667 0 0 0.420868 0 0 0.298111 0.967876 0.569279 0.955411 0.532949,big
undistorted_GX010191_19_537,0.73,0.733108,"[0.828586, 0.707393, 0.999614, 0.791848, 0.697992, 0.999672, 0.765236, 0.689487, 0.997612, 0.91356, 0.73424, 0.951526, 0.733108]",0 0.833594 0.709722 0.176563 0.119444 0.828586 0.707393 0.999614 0.791848 0.697992 0.999672 0.765236 0.689487 0.997612 0.91356 0.73424 0.951526 0.733108,big
undistorted_GX010191_37_1242,0.78,0.78498,"[0.542807, 0.442905, 0.999543, 0.551852, 0.395287, 0.999382, 0.561888, 0.359788, 0.996629, 0.518811, 0.544704, 0.999522, 0.78498]",0 0.542969 0.440278 0.0828125 0.247222 0.542807 0.442905 0.999543 0.551852 0.395287 0.999382 0.561888 0.359788 0.996629 0.518811 0.544704 0.999522 0.78498,small
undistorted_GX010191_97_1190,0.78,0.784801,"[0.604054, 0.246529, 0.999964, 0.632372, 0.209006, 0.999955, 0.655285, 0.183368, 0.999632, 0.531668, 0.345497, 0.998846, 0.784801]",0 0.595312 0.269444 0.14375 0.194444 0.604054 0.246529 0.999964 0.632372 0.209006 0.999955 0.655285 0.183368 0.999632 0.531668 0.345497 0.998846 0.784801,small
undistorted_GX010191_32_1049,0.86,0.858167,"[0.602387, 0.330242, 0.999831, 0.570722, 0.39341, 0.999877, 0.550944, 0.43468, 0.998832, 0.672351, 0.197786, 0.996792, 0.858167]",0 0.609375 0.320833 0.146875 0.286111 0.602387 0.330242 0.999831 0.570722 0.39341 0.999877 0.550944 0.43468 0.998832 0.672351 0.197786 0.996792 0.858167,big
undistorted_GX010191_18_521,0.83,0.827944,"[0.721869, 0.783553, 0.999631, 0.69148, 0.737558, 0.999066, 0.671098, 0.703694, 0.985895, 0.796694, 0.905297, 0.990244, 0.827944]",0 0.734375 0.802778 0.15 0.222222 0.721869 0.783553 0.999631 0.69148 0.737558 0.999066 0.671098 0.703694 0.985895 0.796694 0.905297 0.990244 0.827944,big
undistorted_GX010191_44_478,0.77,0.772154,"[0.757047, 0.869081, 0.999734, 0.728307, 0.881603, 0.999828, 0.708401, 0.885734, 0.999134, 0.824681, 0.83445, 0.998357, 0.772154]",0 0.761719 0.863889 0.135937 0.0888889 0.757047 0.869081 0.999734 0.728307 0.881603 0.999828 0.708401 0.885734 0.999134 0.824681 0.83445 0.998357 0.772154,small
