image_name,target_confidence,object_confidence,object_poses,detection
undistorted_GX010194_6_845,0.71,0.710489,"[0.530016, 0.262231, 0.999645, 0.554469, 0.173247, 0.999317, 0.570907, 0.0998033, 0.993039, 0.459383, 0.463248, 0.998769, 0.710489]",0 0.525 0.266667 0.16875 0.466667 0.530016 0.262231 0.999645 0.554469 0.173247 0.999317 0.570907 0.0998033 0.993039 0.459383 0.463248 0.998769 0.710489
undistorted_GX010194_2_285,0.63,0.627768,"[0.369794, 0.524073, 0.999758, 0.339001, 0.440919, 0.999475, 0.307428, 0.366049, 0.992054, 0.434308, 0.700818, 0.998025, 0.627768]",0 0.365625 0.515278 0.184375 0.419444 0.369794 0.524073 0.999758 0.339001 0.440919 0.999475 0.307428 0.366049 0.992054 0.434308 0.700818 0.998025 0.627768
undistorted_GX010193_11_1065,0.72,0.722239,"[0.503422, 0.652091, 0.999949, 0.544754, 0.768725, 0.99992, 0.581745, 0.88631, 0.998584, 0.418539, 0.400988, 0.998883, 0.722239]",0 0.50625 0.652778 0.23125 0.594444 0.503422 0.652091 0.999949 0.544754 0.768725 0.99992 0.581745 0.88631 0.998584 0.418539 0.400988 0.998883 0.722239
undistorted_GX010194_7_885,0.78,0.776704,"[0.418638, 0.247115, 0.999658, 0.445962, 0.149722, 0.999113, 0.470159, 0.0659295, 0.974903, 0.346275, 0.466905, 0.998658, 0.776704]",0 0.414844 0.276389 0.179688 0.447222 0.418638 0.247115 0.999658 0.445962 0.149722 0.999113 0.470159 0.0659295 0.974903 0.346275 0.466905 0.998658 0.776704
undistorted_GX010193_5_305,0.1,0.101326,"[0.396309, 0.340319, 0.999098, 0.451522, 0.310939, 0.998724, 0.493572, 0.285483, 0.992203, 0.268205, 0.43612, 0.990133, 0.101326]",0 0.401563 0.369444 0.278125 0.25 0.396309 0.340319 0.999098 0.451522 0.310939 0.998724 0.493572 0.285483 0.992203 0.268205 0.43612 0.990133 0.101326
undistorted_GX010194_15_231,0.84,0.844682,"[0.724052, 0.523156, 0.999795, 0.668696, 0.605294, 0.999794, 0.614414, 0.70167, 0.996285, 0.835229, 0.37536, 0.961971, 0.844682]",0 0.719531 0.547222 0.292188 0.427778 0.724052 0.523156 0.999795 0.668696 0.605294 0.999794 0.614414 0.70167 0.996285 0.835229 0.37536 0.961971 0.844682
undistorted_GX010194_65_928,0.75,0.749076,"[0.396448, 0.314165, 0.999644, 0.425064, 0.218826, 0.998978, 0.453222, 0.139085, 0.977439, 0.332323, 0.537715, 0.999238, 0.749076]",0 0.404687 0.313889 0.184375 0.477778 0.396448 0.314165 0.999644 0.425064 0.218826 0.998978 0.453222 0.139085 0.977439 0.332323 0.537715 0.999238 0.749076
undistorted_GX010194_17_257,0.44,0.444947,"[0.653218, 0.560567, 0.999832, 0.608297, 0.676727, 0.999341, 0.564629, 0.797352, 0.976352, 0.750682, 0.297182, 0.999111, 0.444947]",0 0.653125 0.588889 0.234375 0.616667 0.653218 0.560567 0.999832 0.608297 0.676727 0.999341 0.564629 0.797352 0.976352 0.750682 0.297182 0.999111 0.444947
undistorted_GX010193_19_1334,0.8,0.801833,"[0.295559, 0.376856, 0.999873, 0.338761, 0.441199, 0.999877, 0.376741, 0.513862, 0.998607, 0.203044, 0.240134, 0.997983, 0.801833]",0 0.291406 0.388889 0.226562 0.338889 0.295559 0.376856 0.999873 0.338761 0.441199 0.999877 0.376741 0.513862 0.998607 0.203044 0.240134 0.997983 0.801833
undistorted_GX010193_17_1264,0.64,0.636222,"[0.567407, 0.514545, 0.999808, 0.571139, 0.625662, 0.999814, 0.574418, 0.734542, 0.998521, 0.568524, 0.266084, 0.996124, 0.636222]",0 0.576563 0.525 0.103125 0.555556 0.567407 0.514545 0.999808 0.571139 0.625662 0.999814 0.574418 0.734542 0.998521 0.568524 0.266084 0.996124 0.636222
