image_name,lobster_size,total_length,carapace_length,eye_x,eye_y,pixels_total_length,pixels_carapace_length
colored_undistorted_GX010191_100_1250,big,163.8,47.0,4226.5,827.9,861.8,247.3
colored_undistorted_GX010191_100_1250,small,125.3,27.8,2902.9,1389.4,647.8,143.7
colored_undistorted_GX010191_101_1265,big,177.9,44.4,3909.7,631.0,932.9,232.8
colored_undistorted_GX010191_101_1265,small,125.3,31.0,2818.4,1575.9,648.5,160.3
colored_undistorted_GX010191_102_1277,small,138.5,32.6,2809.9,1747.5,715.6,168.0
colored_undistorted_GX010191_103_1289,big,164.3,32.7,3211.7,577.1,865.4,171.7
colored_undistorted_GX010191_103_1289,small,143.7,33.9,2828.1,1938.1,739.1,174.5
colored_undistorted_GX010191_104_1301,small,150.3,30.3,2892.2,695.2,771.3,155.6
colored_undistorted_GX010191_105_1312,small,138.1,34.4,3202.7,2203.8,703.2,175.1
colored_undistorted_GX010191_107_1330,small,122.6,34.1,3636.1,2212.9,625.1,174.1
colored_undistorted_GX010191_108_1337,small,134.5,37.1,3942.2,2144.4,688.5,189.8
colored_undistorted_GX010191_10_370,small,135.6,30.0,3283.4,1947.6,700.4,155.1
colored_undistorted_GX010191_110_1355,big,165.7,42.4,3044.6,1831.4,873.9,223.6
colored_undistorted_GX010191_111_1364,big,193.3,46.4,3257.4,1883.0,1016.3,243.9
colored_undistorted_GX010191_111_1364,small,134.8,33.5,4565.4,1433.7,697.3,173.4
colored_undistorted_GX010191_112_1369,big,190.9,45.7,3508.2,1804.5,1002.4,239.9
colored_undistorted_GX010191_112_1369,small,155.7,39.8,4772.6,1141.5,806.1,205.9
colored_undistorted_GX010191_113_1378,small,157.9,41.6,3586.0,1765.2,803.8,211.6
colored_undistorted_GX010191_114_1383,small,145.3,37.3,4788.6,507.5,751.2,193.0
colored_undistorted_GX010191_115_1392,big,163.6,45.0,3966.1,1474.9,860.2,236.7
colored_undistorted_GX010191_116_1399,big,159.9,45.6,4062.8,1232.3,842.1,240.1
colored_undistorted_GX010191_117_1408,big,173.6,48.9,4111.9,955.2,917.3,258.4
colored_undistorted_GX010191_118_1415,big,180.8,52.0,4106.6,638.8,959.4,276.0
colored_undistorted_GX010191_11_391,small,127.7,30.9,3528.7,1865.3,661.0,159.8
colored_undistorted_GX010191_12_410,small,141.6,33.9,3609.6,1655.4,729.0,174.3
colored_undistorted_GX010191_13_439,small,154.2,27.7,3416.2,429.6,796.1,142.9
colored_undistorted_GX010191_14_460,small,138.0,37.1,3921.9,2195.5,702.7,188.7
colored_undistorted_GX010191_17_509,small,138.9,40.1,4726.8,2634.2,713.6,206.0
colored_undistorted_GX010191_18_521,big,170.7,42.1,3883.3,2386.8,901.1,222.0
colored_undistorted_GX010191_19_537,big,167.0,41.3,4353.0,2068.5,876.7,217.0
colored_undistorted_GX010191_28_230,big,178.3,43.8,3943.1,1211.0,950.5,233.4
colored_undistorted_GX010191_29_257,small,143.7,30.4,2806.6,743.2,734.4,155.3
colored_undistorted_GX010191_30_275,big,174.7,45.3,4111.4,1789.8,931.4,241.4
colored_undistorted_GX010191_30_275,small,143.1,31.2,3019.6,974.0,729.9,159.3
colored_undistorted_GX010191_31_1024,big,188.8,52.7,3196.1,682.9,1003.0,279.9
colored_undistorted_GX010191_31_283,small,146.1,30.2,2817.8,1131.6,746.1,154.3
colored_undistorted_GX010191_32_1049,big,175.5,49.5,3231.5,989.1,928.2,262.1
colored_undistorted_GX010191_32_305,small,151.9,32.6,2961.6,1424.3,775.2,166.4
colored_undistorted_GX010191_33_1087,big,185.7,51.4,3362.5,1440.1,981.8,271.5
colored_undistorted_GX010191_33_331,small,152.7,32.0,3011.4,1720.2,782.3,164.1
colored_undistorted_GX010191_34_1128,big,174.4,47.6,3712.5,1825.0,924.1,252.2
colored_undistorted_GX010191_34_1128,small,151.2,37.8,3469.7,455.0,771.2,192.9
colored_undistorted_GX010191_34_350,small,151.2,42.6,4467.0,2019.5,777.3,219.6
colored_undistorted_GX010191_35_1167,big,166.4,44.8,4168.4,1722.5,887.2,238.8
colored_undistorted_GX010191_35_1167,small,140.0,33.9,3336.6,655.8,712.7,172.4
colored_undistorted_GX010191_35_367,big,167.7,43.7,4575.7,1647.0,883.7,230.8
colored_undistorted_GX010191_35_367,small,141.5,31.7,3256.7,1937.0,730.2,163.9
colored_undistorted_GX010191_36_1195,big,172.5,45.8,4619.6,1195.5,917.2,243.8
colored_undistorted_GX010191_36_1195,small,152.1,32.5,3264.7,726.0,779.1,166.4
colored_undistorted_GX010191_36_381,big,167.2,44.1,4584.2,1178.4,877.3,231.6
colored_undistorted_GX010191_36_381,small,119.6,29.8,3397.5,1928.1,618.7,154.2
colored_undistorted_GX010191_37_1242,big,168.3,45.6,4279.2,831.2,886.1,240.1
colored_undistorted_GX010191_37_1242,small,148.0,30.9,2947.4,1182.0,764.8,159.6
colored_undistorted_GX010191_37_392,small,116.9,25.5,3501.1,1868.1,604.5,132.1
colored_undistorted_GX010191_38_1266,small,119.8,15.6,116.7,402.3,618.3,80.2
colored_undistorted_GX010191_38_404,small,143.5,33.4,3558.7,1718.2,740.5,172.3
colored_undistorted_GX010191_39_416,small,153.7,39.7,3540.6,1630.1,788.3,203.7
colored_undistorted_GX010191_40_1303,big,177.8,38.2,2865.2,718.1,941.6,202.1
colored_undistorted_GX010191_40_1303,small,140.2,33.1,2975.9,2108.3,715.2,169.1
colored_undistorted_GX010191_40_430,small,146.8,36.0,3728.2,1642.6,749.4,183.7
colored_undistorted_GX010191_41_1322,small,120.2,30.4,3504.9,2294.3,612.1,154.6
colored_undistorted_GX010191_41_445,small,129.0,19.9,3242.8,628.2,667.0,102.9
colored_undistorted_GX010191_42_1339,small,127.8,23.5,2756.5,1618.2,660.5,121.3
colored_undistorted_GX010191_43_1353,big,172.0,43.4,3038.0,1827.8,908.6,229.1
colored_undistorted_GX010191_43_468,small,131.7,35.8,3891.5,2323.7,670.5,182.1
colored_undistorted_GX010191_44_1368,big,180.4,43.1,3491.8,1832.7,947.5,226.1
colored_undistorted_GX010191_44_1368,small,141.8,36.4,4772.5,1227.4,733.5,188.0
colored_undistorted_GX010191_46_1396,small,156.1,45.0,4028.3,1343.0,797.2,230.0
colored_undistorted_GX010191_47_507,small,130.9,36.7,4670.2,2662.4,671.6,188.2
colored_undistorted_GX010191_48_515,small,143.1,39.4,5042.0,2509.2,736.5,202.8
colored_undistorted_GX010191_49_523,big,171.7,42.9,3949.8,2381.1,905.6,226.0
colored_undistorted_GX010191_50_529,big,184.3,43.2,4264.5,2399.9,970.0,227.2
colored_undistorted_GX010191_51_535,big,168.3,42.0,4365.0,2138.1,883.9,220.5
colored_undistorted_GX010191_52_541,big,168.9,42.5,4603.2,2009.9,886.4,223.0
colored_undistorted_GX010191_5_190,big,166.6,42.7,3716.5,597.2,888.7,227.5
colored_undistorted_GX010191_6_219,big,168.7,42.1,3860.6,1078.7,899.4,224.3
colored_undistorted_GX010191_7_260,small,140.6,32.2,2862.1,814.6,718.7,164.6
colored_undistorted_GX010191_88_1016,big,168.4,46.1,3235.2,568.0,897.0,245.7
colored_undistorted_GX010191_89_1024,big,188.8,52.7,3196.1,682.9,1003.0,279.9
colored_undistorted_GX010191_8_309,small,135.7,28.2,2897.5,1426.5,693.7,144.0
