Label,PrawnID,Avg_Length,Std_Length,Uncertainty,Length_1,Length_2,Length_3,BoundingBox_1,BoundingBox_2,BoundingBox_3,Angle_1,Angle_2,Angle_3,Scale_1,Scale_2,Scale_3,Global_Uncertainty,Length_ground_truth_annotation(mm),Length_ground_truth_annotation_pixels,pred_Distance_pixels,combined_scale,combined_scale_ground,id,Length_fov(mm),Height(mm),focal_RealLength(cm),Length_1_pixels,Length_2_pixels,Length_3_pixels,Pond_Type,Euclidean_Distance,MPError_fov_min,MPError_fov_max,MPError_fov_median,AbsError_fov_min,AbsError_fov_max,AbsError_fov_median,AbsError_focal_min,AbsError_focal_max,AbsError_focal_median,MPError_focal_min,MPError_focal_max,MPError_focal_median,Error_distance_mm_ground_min,Error_distance_mm_ground_max,Error_distance_mm_ground_median,Error_percentage_distance_mm_ground_min,Error_percentage_distance_mm_ground_max,Error_percentage_distance_mm_ground_median,pose_eval_iou,std_length,mean_length,choice,mean_scale,pred_scale,annotation_length_1,annotation_length_2,annotation_length_3,MPE_length1,MPE_length2,MPE_length3,mean_annotation_length,mean_pixels,diff_pixels,diff_mm,diff_scale
full body:undistorted_GX010069_19_191.jpg_gamma,Prawn_0,102.9623333333333,5.072948014276862,2.928867901627724,105.422,107.569,95.896,"(636.0000024, 1035.9979836, 525.0012248, 281.0022872)","(623.9996762999999, 1035.9952603, 560.9955351, 301.0000994)","(636.0013038000001, 1043.9978001, 522.9967125, 288.9988134)",151.882,151.821,151.113,56.356,59.059,62.169,1.230960202536279,108.7610278024817,580.2341849087918,674.9011121422704,0.1875569811753065,0.1874433300057599,67ee457367583908e8ad300f,126.5824151852613,650.0,127.2124710117856,594.1162231999999,635.2917571,596.1758424,circle_female,674.9011121422704,31.99968214029913,17.67555260833628,20.07210561861972,30.68641518526125,19.01341518526125,21.16041518526127,31.31647101178558,19.64347101178558,21.7904710117856,32.6567020645132,18.26127509950411,20.66975679818786,12.86502780248175,1.192027802481746,3.339027802481766,13.41560419880052,1.108151793250608,3.167296961243162,0.9943429904653006,6.213067063321732,102.96233333333333,body_all_mean,59.19466666666667,53.31713027868132,102.95872398835826,98.24653057261244,93.33175455754345,20.072105618619737,17.675552608336318,31.999682140299175,98.17900303950472,608.5279409,66.37317124227047,23.620081851927964,5.8775363879853515
full body:undistorted_GX010080_157_2283.jpg_gamma,Prawn_0,106.3263333333333,1.989812944865808,1.148819039355276,105.483,104.423,109.073,"(1020.0053664, 36.001152, 437.0048927999999, 573.0046991999999)","(1024.0033258, 40.0004542, 437.0025408, 576.9972124)","(1003.9996967, 36.0015656, 457.0012447, 573.0003279)",52.684,52.876,51.438,68.184,69.181,67.067,1.230960202536279,129.4857491283032,696.507572109916,765.0252001723981,0.1860686140085039,0.1859071664304448,67ee457367583908e8ad2fdc,142.3471786776564,650.0,144.2000084890973,719.2252872,722.4087563,731.5198890999999,circle_female,765.0252001723981,36.31784058843012,30.50633857843499,34.94798088569381,37.92417867765639,33.27417867765639,36.8641786776564,39.77700848909734,35.12700848909735,38.71700848909735,38.09219088620068,32.20504477652339,36.70450071489942,25.06274912830318,20.41274912830319,24.00274912830319,24.00117706664545,18.71475904055375,22.75508767128655,0.9979802926784669,2.437013199252993,106.32633333333332,body_all_mean,68.144,53.74361524261673,102.15117507185205,100.6790263381443,103.85250154471143,34.94798088569379,36.31784058843012,30.50633857843499,102.22756765156926,724.3846442,40.64055597239803,36.020845344323064,14.400384757383279
full body:undistorted_GX010080_157_2283.jpg_gamma,Prawn_2,99.51133333333333,2.805564748059746,1.619793562521219,103.479,97.525,97.53,"(2304.0123624, 1112.0060376, 469.003644, 529.0055639999999)","(2316.0000094, 1095.9999925, 444.9998644, 508.9992075)","(2323.9922706, 1115.99488, 440.9990584999999, 485.0017172)",-131.553,-131.154,-132.274,68.184,69.181,67.067,1.230960202536279,127.4241786491467,683.8488943264732,668.4548696104928,0.1863806759161248,0.1863338227294313,67ee457367583908e8ad2fda,124.5870704174287,650.0,125.9974153148025,705.5612136,674.6877025,654.1044509999999,circle_female,668.4548696104928,27.74885456798639,20.39840974248759,27.74230535981621,27.06207041742873,21.10807041742873,27.05707041742875,28.47241531480245,22.51841531480245,28.46741531480247,29.19499135073309,21.76133835348472,29.18836800451396,29.89917864914668,23.94517864914668,29.8941786491467,30.65796323931984,23.14013340788632,30.65126489197857,0.9985586836447224,3.436101036543209,99.51133333333333,body_all_mean,68.144,53.65363094026019,100.29462840644041,98.84923524182554,101.96503411908589,20.398409742487562,27.74885456798636,27.74230535981616,100.36963258911727,678.1177890333332,9.662919422840446,25.07573708409538,14.490369059739812
full body:undistorted_GX010080_237_3366.jpg_gamma,Prawn_0,129.9393333333333,2.747245934062363,1.58612317956101,126.555,133.284,129.979,"(1295.992404, 119.9999637, 318.9973521, 690.9978399)","(1276.001045, 156.0026149, 393.0003308, 653.0008837)","(1295.9919687, 159.9966819, 376.9975712, 640.9975215000001)",65.256,58.985,59.566,60.033,57.079,57.107,1.230960202536279,140.6677737793741,757.9101178773773,822.0823402968391,0.1857655446125433,0.1855995459901392,67ee457367583908e8ad3063,152.7145736615965,650.0,154.9547392985582,759.7476315000001,760.7717436,742.2710753,circle_female,822.0823402968391,20.67051768922325,14.57832422616105,17.49172840350865,26.15957366159648,19.4305736615965,22.7355736615965,28.39973929855816,21.67073929855817,24.97573929855818,22.4406300016263,16.25907032994071,19.21521114838411,14.11277377937409,7.38377377937411,10.68877377937412,11.15149443275579,5.539880090163943,8.223462081854851,0.9977591438316403,3.3646753681942756,129.93933333333334,body_all_mean,58.073,53.831295899663715,126.24891607572123,132.7826552457782,132.71755089172558,20.670517689223246,14.578324226161055,17.491728403508624,130.58304073774167,754.2634834666668,67.81885683017231,22.775240328263152,4.241704100336285
full body:undistorted_GX010082_8_59.jpg_gamma,Prawn_3,119.8393333333333,11.32565101391036,6.538867661628908,107.057,134.589,117.872,"(3936.0002166, 1068.0016788, 253.0004094, 621.0015731999999)","(3894.0046868, 1080.0035192, 282.9991072, 673.0000772000001)","(3936.0097172, 1064.0041467, 264.997656, 636.9992156000001)",-112.119,-112.765,-112.543,62.514,54.148,58.421,1.230960202536279,127.0474937402216,685.157495236774,814.0420931212242,0.1851378324471559,0.1854281601288139,67ee457367583908e8ad30e8,150.7099886412093,650.0,153.4392288150906,669.2561298,728.7725172,688.6200111999999,circle_female,814.0420931212242,40.77546413705716,11.97793923813186,27.85902389134763,43.65298864120929,16.12098864120929,32.83798864120928,46.38222881509064,18.85022881509065,35.56722881509063,43.32479783208071,14.00577225114285,30.17445094262473,19.99049374022157,7.54150625977843,9.175493740221555,18.67275726035809,5.603360051548366,7.784286124119006,0.9806666088676654,13.87103299445767,119.83933333333334,body_all_mean,58.361,54.01381159009902,109.6006486925767,126.53422014419257,117.2793165534267,40.77546413705716,11.977939238131864,27.85902389134764,117.80472846339865,695.5495527333333,118.49254038789093,30.87065530787595,4.34718840990098
full body:undistorted_GX010082_8_59.jpg_gamma,Prawn_4,94.914,6.85051136777394,3.955144582270876,86.257,103.009,95.476,"(1383.997446, 1736.0012772, 533.0006154, 89.0011818)","(1398.0038936, 1728.0034648, 547.003096, 114.9995224)","(1384.0051742, 1720.0018715, 548.9996633000001, 105.0000633)",9.392,11.793,10.746,62.514,54.148,58.421,1.230960202536279,115.8861695437022,615.1084615374929,639.2556928371579,0.188265171225801,0.1883995698157675,67ee457367583908e8ad30e6,120.3495824690556,650.0,120.4936468930031,539.2270098000001,557.7731332000001,557.7803396,circle_female,639.2556928371579,39.52442406883566,16.83404602418778,26.05218323877789,34.09258246905559,17.34058246905559,24.87358246905558,34.23664689300313,17.48464689300313,25.01764689300312,39.69144172995018,16.97390217651189,26.20307395890393,29.62916954370222,12.87716954370222,20.41016954370221,34.34987252478317,12.50101403149455,21.37727758148876,0.9888233213655744,8.390128664090913,94.914,body_all_mean,58.361,53.11656922461894,98.39531329582059,113.59763269880565,105.2889306135624,39.524424068835685,16.834046024187792,26.05218323877792,105.76062553606289,551.5934942,87.66219863715787,25.435582469055603,5.244430775381055
full body:undistorted_GX010082_65_1070.jpg_gamma,Prawn_0,97.42,6.253816114981312,3.610642417446881,91.79,106.142,94.328,"(2335.9988, 471.9998000000001, 444.9988, 357.0022)","(2311.9792072, 427.99614, 520.9958416, 412.99518)","(2331.9998, 464.0018, 465.0, 357.0022)",38.723,38.39,37.497,62.0,62.504,62.0,1.230960202536279,119.5081991142444,638.882315575576,650.2084602955475,0.1871074474189738,0.1870582362364784,67ee457567583908e8ad32bb,121.6588452961211,650.0,122.5581398798002,569.0980000000001,663.4299567999999,584.8336,circle_female,650.2084602955475,32.54041322161572,14.61894942258585,28.97426564341564,29.86884529612107,15.51684529612108,27.3308452961211,30.76813987980015,16.41613987980016,28.23013987980018,33.52014367556394,15.46620553579182,29.92763535726421,27.71819911424444,13.36619911424445,25.18019911424447,30.19740615997869,12.59275226983141,26.69429979883436,0.9990655984089502,7.659329213449434,97.42,body_all_mean,62.168,53.44522699627155,103.04553477025419,102.21462875585178,103.04553477025419,32.540413221615744,14.618949422585882,28.97426564341563,102.76856609878672,605.7871856,44.42127469554748,24.2388452961211,8.722773003728449
full body:undistorted_GX010082_65_1070.jpg_gamma,Prawn_1,129.8183333333333,0.6539267712995221,0.377544797440082,129.317,130.742,129.396,"(3899.9984, 712.0018, 796.9976, 96.999)","(3891.96782, 735.9971008, 812.9957784, 92.9997016)","(3892.0004, 719.9998, 796.9976, 100.998)",173.123,173.536,172.84,62.0,62.504,62.0,1.230960202536279,145.1365152885216,770.581507799564,815.0257130170205,0.1884372083960627,0.1883467405063567,67ee457567583908e8ad32bd,153.5811701319379,650.0,153.6246318544832,801.7654,817.1897968,802.2551999999998,circle_female,815.0257130170205,18.76332588285985,17.46888538643886,18.6908174378945,24.26417013193787,22.83917013193789,24.18517013193795,24.30763185448319,22.88263185448321,24.22863185448327,18.79693455190206,17.50212774355846,18.72440558787233,15.81951528852159,14.3945152885216,15.74051528852166,12.23312889142308,11.00986315684447,12.16460732056762,0.9900704192385431,0.8008934594147503,129.8183333333333,body_all_mean,62.168,53.06807548847631,124.28733996767161,123.28515099826635,124.28733996767161,18.76332588285987,17.46888538643888,18.69081743789447,123.95327697786986,807.0701322666667,7.955580750353761,23.76283679860461,9.099924511523689
full body:undistorted_GX010082_236_3137.jpg_gamma,Prawn_1,113.9653333333333,5.021146903071268,2.898960516128853,119.107,107.153,115.636,"(2460.001383, 540.0015437999999, 140.9973663, 744.998481)","(2447.99793, 548.002881, 157.000761, 740.998422)","(2448.0175764, 552.0033441, 145.0004322, 717.0062316)",100.657,101.904,101.371,63.561,70.578,63.159,1.230960202536279,141.8789662689949,767.8432331362046,754.8572158515314,0.1847481127300488,0.1847759544477584,67ee457467583908e8ad3124,139.4584460092295,650.0,142.283439694951,757.0560026999999,756.2644434000001,730.3454124,circle_female,754.8572158515314,30.14889551317226,17.08669180587999,20.60123664709048,32.30544600922947,20.35144600922948,23.82244600922954,35.13043969495099,23.176439694951,26.64743969495106,32.78530670625273,19.45850344224185,23.04424201369044,34.7259662689949,22.7719662689949,26.24296626899496,32.4078339094518,19.11891515107836,22.69446043532721,0.9903919916059958,6.149623918040295,113.96533333333332,body_all_mean,65.766,54.12775184670953,120.80414611730535,108.7935664280944,121.57305105150567,17.08669180588001,30.148895513172285,20.60123664709045,117.05692119896848,747.8886195,6.968596351531346,25.493112675896185,11.638248153290476
full body:undistorted_GX010082_236_3137.jpg_gamma,Prawn_2,115.3283333333333,7.750676371918919,4.47485508972906,117.102,105.074,123.809,"(3648.0009657, 1379.9982954, 544.9974384, 509.0028441)","(3656.0039202, 1392.0028362, 545.003316, 504.9997056000001)","(3600.0251046, 1388.0074476, 585.0039216, 521.0049069)",-136.96,-137.186,-138.318,63.561,70.578,63.159,1.230960202536279,143.5768519979866,769.4651007511259,761.0963915504726,0.1866838767134068,0.1865930655696168,67ee457467583908e8ad3122,142.0844249272272,650.0,143.4594652540431,744.3120222,741.5912772,781.9652631,circle_female,761.0963915504726,35.22319977085406,14.76098258384059,21.33390115218116,37.01042492722719,18.27542492722719,24.98242492722719,38.3854652540431,19.6504652540431,26.35746525404309,36.53183970729495,15.87159677732887,22.50812561189654,38.50285199798661,19.76785199798661,26.4748519979866,36.64355787158252,15.96640954856804,22.60836877080375,0.9983715239735836,9.492601136323664,115.32833333333333,body_all_mean,65.766,53.56648991895425,121.05931321897484,109.02336432757032,121.82984226335533,21.333901152181163,35.22319977085406,14.760982583840587,117.30417326996682,755.9561874999999,5.140204050472676,26.756091593893856,12.199510081045759
