Label,PrawnID,Avg_Length,Std_Length,Uncertainty,Length_1,Length_2,Length_3,BoundingBox_1,BoundingBox_2,BoundingBox_3,Angle_1,Angle_2,Angle_3,Scale_1,Scale_2,Scale_3,Global_Uncertainty,Length_ground_truth_annotation(mm),Length_ground_truth_annotation_pixels,pred_Distance_pixels,combined_scale,combined_scale_ground,id,Length_fov(mm),Height(mm),focal_RealLength(cm),Length_1_pixels,Length_2_pixels,Length_3_pixels,Pond_Type,Euclidean_Distance,MPError_fov_min,MPError_fov_max,MPError_fov_median,AbsError_fov_min,AbsError_fov_max,AbsError_fov_median,AbsError_focal_min,AbsError_focal_max,AbsError_focal_median,MPError_focal_min,MPError_focal_max,MPError_focal_median,Error_distance_mm_ground_min,Error_distance_mm_ground_max,Error_distance_mm_ground_median,Error_percentage_distance_mm_ground_min,Error_percentage_distance_mm_ground_max,Error_percentage_distance_mm_ground_median,pose_eval_iou,choice,mean_scale,pred_scale,std_length,sem_length,annotation_length_1,annotation_length_2,annotation_length_3,MPE_length1,MPE_length2,MPE_length3,mean_length,mean_pixels,diff_pixels,diff_mm,diff_scale
full body:undistorted_GX010069_19_191.jpg_gamma,Prawn_1,87.69233333333334,1.9044469596768,1.099532964826765,88.949,89.127,85.001,"(1603.9988364, 1348.0017064, 493.002288, 96.99994720000001)","(1599.9909926, 1347.9921455, 516.9965801, 105.0009961)","(1601.9956596, 1349.999835, 516.997404, 115.0002162)",-11.041,-11.395,-12.458,56.356,59.059,62.169,1.230960202536279,101.5907638311744,539.2941548244797,599.8568051076281,0.1874562766097276,0.1883772759677665,67ee47f023277aaaac7f677d,112.446923184483,650.0,113.0673295066231,501.2809844,526.3751493,528.4427168999999,circle_female,599.8568051076281,32.28894152360915,26.16482455875665,26.41729888417299,27.44592318448302,23.31992318448303,23.49792318448303,28.06632950662305,23.94032950662306,24.11832950662306,33.01882272752444,26.86091701350103,27.11478432205315,16.58976383117439,12.4637638311744,12.6417638311744,19.51713959973929,13.98427393626444,14.21237319269964,0.9955660623101661,body_kalkar_mean,59.19466666666667,53.345773109637626,2.332461646701465,1.3466473595975688,95.69418603599968,91.31447447882283,86.7464740987437,26.41729888417295,26.16482455875661,32.28894152360912,87.69233333333334,518.6996168666666,81.15718824096155,24.75458985114966,5.848893557029044
full body:undistorted_GX010080_157_2283.jpg_gamma,Prawn_0,106.3263333333333,1.989812944865808,1.148819039355276,105.483,104.423,109.073,"(1020.0053664, 36.001152, 437.0048927999999, 573.0046991999999)","(1024.0033258, 40.0004542, 437.0025408, 576.9972124)","(1003.9996967, 36.0015656, 457.0012447, 573.0003279)",52.684,52.876,51.438,68.184,69.181,67.067,1.230960202536279,129.4857491283032,696.507572109916,754.156973122387,0.1858447859066686,0.1859071664304448,67ee47f023277aaaac7f674e,140.1561412099512,650.0,142.1514505690186,719.2252872,722.4087563,731.5198890999999,circle_female,754.156973122387,34.21960795030902,28.49755779152604,32.87083341386878,35.73314120995119,31.08314120995119,34.6731412099512,37.72845056901855,33.07845056901856,36.66845056901856,36.13040285092225,30.32689168631885,34.76242671237883,25.06274912830318,20.41274912830319,24.00274912830319,24.00117706664545,18.71475904055375,22.75508767128655,0.9981649429220879,body_kalkar_mean,68.144,53.808343081640245,2.437013199252993,1.4070102266073867,102.15117507185205,100.6790263381443,103.85250154471143,32.87083341386875,34.21960795030902,28.49755779152604,106.32633333333332,724.3846442,29.77232892238692,33.82980787661786,14.33565691835976
full body:undistorted_GX010080_157_2283.jpg_gamma,Prawn_2,99.51133333333333,2.805564748059746,1.619793562521219,103.479,97.525,97.53,"(2304.0123624, 1112.0060376, 469.003644, 529.0055639999999)","(2316.0000094, 1095.9999925, 444.9998644, 508.9992075)","(2323.9922706, 1115.99488, 440.9990584999999, 485.0017172)",-131.553,-131.154,-132.274,68.184,69.181,67.067,1.230960202536279,127.4241786491467,683.8488943264732,662.5614885699513,0.1864880724598443,0.1863338227294313,67ee47f023277aaaac7f674a,123.5598148895354,650.0,124.8865687755197,705.5612136,674.6877025,654.1044509999999,circle_female,662.5614885699513,26.69552923818032,19.40569090301932,26.68903403007831,26.03481488953535,20.08081488953536,26.02981488953537,27.36156877551974,21.40756877551975,27.35656877551976,28.05595362780799,20.68783886152722,28.04938867581233,29.89917864914668,23.94517864914668,29.8941786491467,30.65796323931984,23.14013340788632,30.65126489197857,0.9981799536521159,body_kalkar_mean,68.144,53.62273237154754,3.436101036543209,1.983833858410974,100.29462840644041,98.84923524182554,101.96503411908589,19.40569090301936,26.69552923818036,26.689034030078336,99.51133333333333,678.1177890333332,15.556300463381945,24.048481556202077,14.521267628452463
full body:undistorted_GX010080_193_2640.jpg_gamma,Prawn_3,107.973,4.731109595010455,2.731507398244908,106.109,103.34,114.47,"(2947.9900182, 1339.9977106, 568.99787, 328.9988336)","(2959.9869728, 1347.9920645, 560.9950528999999, 328.9955987)","(2956.0035786, 1344.0034644, 585.0033264, 340.9980942)",149.995,149.642,149.792,61.814,62.801,59.034,1.230960202536279,126.774341741643,676.4820387602473,694.8091704713772,0.1873755679250463,0.1874023765272106,67ee47f023277aaaac7f6804,130.1902629166046,650.0,130.9649515567555,655.9021726,648.985534,675.762198,circle_female,694.8091704713772,25.98244911612597,13.73308545173808,22.69483542075093,26.85026291660458,15.72026291660458,24.0812629166046,27.62495155675549,16.4949515567555,24.85595155675551,26.73209943560624,14.409846734302,23.42492301007032,23.43434174164297,12.30434174164297,20.66534174164299,22.67693220596378,10.74896631575345,19.47557864238,0.994464130001335,body_kalkar_mean,61.21633333333333,53.36875085016519,5.794402212480592,3.345399677168633,109.43832121529869,107.71835460585775,114.59193663994432,22.69483542075094,25.982449116126,13.733085451738106,107.973,660.2166348666666,34.59253560471063,22.21726291660461,7.847582483168139
full body:undistorted_GX010082_65_1070.jpg_gamma,Prawn_0,97.42,6.253816114981312,3.610642417446881,91.79,106.142,94.328,"(2335.9988, 471.9998000000001, 444.9988, 357.0022)","(2311.9792072, 427.99614, 520.9958416, 412.99518)","(2331.9998, 464.0018, 465.0, 357.0022)",38.723,38.39,37.497,62.0,62.504,62.0,1.230960202536279,119.5081991142444,638.882315575576,640.2341028220424,0.1871074927686018,0.1870582362364784,67ee47f223277aaaac7f6a25,119.7925977639875,650.0,120.678067913506,569.0980000000001,663.4299567999999,584.8336,circle_female,640.2341028220424,30.50724236189948,12.86069394206586,26.99579951232675,28.00259776398754,13.65059776398755,25.46459776398757,28.88806791350595,14.53606791350596,26.35006791350598,31.47191187875144,13.69492558412877,27.93451352038206,27.71819911424444,13.36619911424445,25.18019911424447,30.19740615997869,12.59275226983141,26.69429979883436,0.9988821696628672,body_kalkar_mean,62.168,53.44521404264195,7.659329213449434,4.422115783196995,103.04553477025419,102.21462875585178,103.04553477025419,30.50724236189944,12.860693942065824,26.99579951232667,97.42,605.7871856,34.446917222042316,22.3725977639875,8.722785957358049
full body:undistorted_GX010082_65_1070.jpg_gamma,Prawn_1,129.8183333333333,0.6539267712995221,0.377544797440082,129.317,130.742,129.396,"(3899.9984, 712.0018, 796.9976, 96.999)","(3891.96782, 735.9971008, 812.9957784, 92.9997016)","(3892.0004, 719.9998, 796.9976, 100.998)",173.123,173.536,172.84,62.0,62.504,62.0,1.230960202536279,145.1365152885216,770.581507799564,835.3382921918843,0.1884320360939216,0.1883467405063567,67ee47f223277aaaac7f6a27,157.404495224936,650.0,157.4533607496761,801.7654,817.1897968,802.2551999999998,circle_female,835.3382921918843,21.71987845753922,20.39321352353185,21.64556495172655,28.08749522493599,26.66249522493601,28.00849522493607,28.13636074967613,26.71136074967615,28.05736074967621,21.75766585188036,20.43058906065086,21.68332927577067,15.81951528852159,14.3945152885216,15.74051528852166,12.23312889142308,11.00986315684447,12.16460732056762,0.9877015019002644,body_kalkar_mean,62.168,53.06953216286228,0.8008934594147503,0.4623960543853167,124.28733996767161,123.28515099826635,124.28733996767161,21.719878457539217,20.39321352353185,21.645564951726495,129.8183333333333,807.0701322666667,28.26815992521756,27.5861618916027,9.098467837137719
full body:undistorted_GX010082_236_3137.jpg_gamma,Prawn_0,67.466,3.219272381558708,1.858647776087648,68.78,63.034,70.584,"(84.0022176, 775.9971807, 437.0009433, 33.0008712)","(80.00016300000001, 779.9998248, 445.0013478, 29.0005002)","(75.9992247, 780.0073341, 445.0056822, 41.0028228)",-4.198,-3.608,-5.148,63.561,70.578,63.159,1.230960202536279,81.14682920502048,430.5695219198405,490.8015039147228,0.1884407670480938,0.1884639415330648,67ee47f123277aaaac7f6890,92.48701186604838,650.0,92.51143755135907,437.172558,444.8813652,445.8014856,circle_female,490.8015039147228,46.72559549774468,31.03112867795587,34.46788581862224,29.45301186604838,21.90301186604837,23.70701186604838,29.47743755135907,21.92743755135906,23.73143755135906,46.76434551410202,31.06573380845384,34.50339859168226,18.11282920502048,10.56282920502048,12.36682920502048,28.73501476190704,14.96490593480176,17.98026927162035,0.917696494800723,body_kalkar_mean,65.766,53.067073312473845,3.942787338926615,2.2763693314867295,67.74114974903486,61.00619483689542,68.1723146218022,34.46788581862224,46.72559549774468,31.03112867795587,67.466,442.6184696,48.18303431472276,25.021011866048383,12.69892668752616
full body:undistorted_GX010088_262_3712.jpg_gamma,Prawn_1,147.935,2.798254575028268,1.615573032153672,149.196,150.553,144.056,"(3079.9828316, 1163.995902, 144.9972962, 724.9963763999999)","(3083.9855209, 1169.9925144, 139.0006838, 732.9968072999999)","(3091.987709, 1179.995283, 125.001985, 724.996216)",-101.249,-100.676,-99.719,49.477,49.477,50.99,1.230960202536279,135.2064177976229,731.6419889536136,680.5375690489119,0.1847198566290836,0.1847986034686085,67ee47f123277aaaac7f69a9,125.7088021854201,650.0,128.2748897838769,738.1770491999999,744.8910781,734.541544,circle_female,680.5375690489119,12.73615664365241,16.50196131234841,15.74251173930931,18.34719781457991,24.8441978145799,23.48719781457993,15.78111021612307,22.27811021612305,20.92111021612308,10.95484409960229,14.79751995385217,14.02256777401745,8.84958220237715,15.34658220237714,13.98958220237716,6.143154191687364,10.1934748576097,9.376646962637846,0.9955767169063915,body_kalkar_mean,49.98133333333333,54.136031623714075,3.427147939613921,1.9786647854887687,147.87517209079243,147.87517209079243,143.48734829449177,15.742511739309299,16.50196131234841,12.736156643652407,147.93500000000003,739.2032237666667,58.66565471775482,22.226197814579933,4.154698290380743
full body:undistorted_GX010088_262_3712.jpg_gamma,Prawn_2,168.8526666666667,1.991087865687722,1.149555115235004,169.067,171.177,166.314,"(2367.9890108, 1867.9892919, 412.9993620999999, 728.994118)","(2333.9884164, 1853.9922486, 426.9964054, 732.9968072999999)","(2359.990566, 1867.993155, 393.000326, 752.9948250000001)",-119.507,-120.198,-117.532,49.477,49.477,50.99,1.230960202536279,152.8044695099902,822.7563059545457,747.710682255672,0.1855490725145097,0.1857226354925466,67ee47f123277aaaac7f69a1,138.7370236017312,650.0,140.9363857613573,836.4927959,846.9324428999998,848.0350860000001,circle_female,747.710682255672,16.58127181011148,18.95113034944462,17.93961943978946,27.57697639826881,32.43997639826881,30.32997639826885,25.37761423864271,30.24061423864271,28.13061423864275,15.25885628308062,17.6662835770242,16.63873744648142,13.50953049000975,18.37253049000975,16.26253049000979,8.122906363871804,10.73306021837616,9.618985662494627,0.9964599069414205,body_kalkar_mean,49.98133333333333,53.89409855022591,2.4385746519910634,1.4079117317660386,166.29066151030696,166.29066151030696,161.35640438410388,17.939619439789432,18.9511303494446,16.581271810111467,168.85266666666666,843.8201082666668,96.10942601099475,30.115643064935455,3.9127652168925806
full body:undistorted_GX010097_32_528.jpg_gamma,Prawn_1,99.14533333333333,2.883137681223168,1.66458031636495,101.006,101.357,95.073,"(4416.024121599999, 2364.0131541, 97.00213769999998, 553.0014931999999)","(4403.9885552, 2327.9923722, 115.0008873, 588.9976589)","(4379.9884178, 2359.9929804, 133.001458, 564.997261)",99.866,100.972,103.173,55.471,59.093,60.926,1.230960202536279,104.1425823465392,563.759700581728,711.6660938267378,0.1849282006696379,0.1847286747156233,67ee47ef23277aaaac7f665b,131.6071302089683,650.0,134.1423220412771,560.2903825999999,598.9489201,579.2417598,circle_female,711.6660938267378,38.42745070521424,29.84513177083806,30.29634893864556,36.53413020896834,30.25013020896833,30.60113020896833,39.06932204127715,32.78532204127714,33.13632204127714,41.09402463504586,32.34638164238991,32.80629075626907,9.06958234653925,2.785582346539243,3.136582346539242,9.539598357619147,2.748288077329877,3.105342599983409,0.9036413023258012,body_kalkar_mean,58.49666666666667,54.07504082010913,3.5311080885939132,2.0386862054873607,101.63142913986192,95.40211202371312,92.53187482876407,30.296348938645522,29.84513177083803,38.42745070521421,99.14533333333333,579.4936875,132.1724063267378,32.461796875634974,4.421625846557539
