meas_image_name,meas_prawn_id,meas_meas_1,meas_meas_2,meas_meas_3,meas_avg,meas_std,meas_dev_pct,meas_flag,meas_base_image_name,meas_camera_frame,meas_scale_factor,meas_scaled_meas_1,meas_scaled_meas_2,meas_scaled_meas_3,meas_scaled_avg,meas_measurement_type,meas_center_x,meas_center_y,length_Label,length_PrawnID,length_Avg_Length,length_Std_Length,length_Uncertainty,length_Length_1,length_Length_2,length_Length_3,length_Angle_1,length_Angle_2,length_Angle_3,length_Scale_1,length_Scale_2,length_Scale_3,length_Global_Uncertainty,length_Length_ground_truth_annotation(mm),length_Length_ground_truth_annotation_pixels,length_pred_Distance_pixels,length_combined_scale,length_combined_scale_ground,length_id,length_Length_fov(mm),length_Height(mm),length_focal_RealLength(cm),length_Length_1_pixels,length_Length_2_pixels,length_Length_3_pixels,length_Pond_Type,length_Euclidean_Distance,length_MPError_fov_min,length_MPError_fov_max,length_MPError_fov_median,length_AbsError_fov_min,length_AbsError_fov_max,length_AbsError_fov_median,length_AbsError_focal_min,length_AbsError_focal_max,length_AbsError_focal_median,length_MPError_focal_min,length_MPError_focal_max,length_MPError_focal_median,length_Error_distance_mm_ground_min,length_Error_distance_mm_ground_max,length_Error_distance_mm_ground_median,length_Error_percentage_distance_mm_ground_min,length_Error_percentage_distance_mm_ground_max,length_Error_percentage_distance_mm_ground_median,length_pose_eval_iou,length_camera_frame,match_type
undistorted_GX010067_33_625.jpg_gamma_obj3_cropped0.0593677_0.723095,1.jpg,571.5916,571.5453,576.0295,571.5685,0.8,OK,,undistorted_GX010067_33_625.jpg_gamma,undistorted_GX010067_33_625,0.18432500184325,105.35862272358622,105.35008847600088,106.17663864926638,105.35436481604364,total,0.0593677,0.723095,full body:undistorted_GX010067_33_625.jpg_gamma,Prawn_3,89.831,6.375611238670902,3.680960864895049,91.177,81.437,96.879,5.625,3.18,3.468,58.189,61.984,54.601,1.230960202536279,97.03797467389488,514.9316657389987,491.6732916785696,0.1883902251784392,0.1884482565946529,67ee457267583908e8ad2e82,92.62644213355016,650.0,92.6757612924843,530.5498453,504.7791008,528.9690279,right,491.6732916785696,13.73999795369446,4.389555906285003,1.589701496594732,11.18944213355016,4.252557866449848,1.449442133550178,11.2387612924843,4.203238707515709,1.498761292484318,13.80055907325208,4.338647908747725,1.643793163280562,15.60097467389488,0.1589746738948747,5.860974673894901,19.15710877598006,0.1640961136003414,6.428128446751816,0.9677671464025963,undistorted_GX010067_33_625,spatial_match
undistorted_GX010067_33_625.jpg_gamma_obj2_cropped0.730074_0.668993,1.jpg,623.2439,612.2777,619.7322,617.7608,0.3,OK,,undistorted_GX010067_33_625.jpg_gamma,undistorted_GX010067_33_625,0.1886045151920937,117.54661360592974,115.4783387714302,116.88429112992966,116.51247618867995,total,0.730074,0.668993,full body:undistorted_GX010067_33_625.jpg_gamma,Prawn_1,93.004,5.378577197239685,3.105322992683515,88.142,90.369,100.501,131.522,133.843,135.591,58.189,61.984,54.601,1.230960202536279,99.00656596400641,531.465366737147,551.0397602452871,0.1864144745214689,0.186289779467367,67ee457267583908e8ad2e80,102.7217873465614,650.0,103.8657786531663,512.8894838,560.1432096000001,548.7455101,right,551.0397602452871,16.54124860629597,2.209716666064398,13.66927524545075,14.57978734656139,2.22078734656138,12.35278734656139,15.72377865316633,3.364778653166326,13.49677865316633,17.83914439559612,3.348005147377962,14.93518646124924,10.86456596400642,1.494434035993592,8.637565964006413,12.32620766944977,1.48698424492651,9.55810727573218,0.996506201116221,undistorted_GX010067_33_625,spatial_match
undistorted_GX010067_33_625.jpg_gamma_obj1_cropped0.272177_0.696292,1.jpg,885.7991,887.5275,895.0441,886.6633,0.9,OK,,undistorted_GX010067_33_625.jpg_gamma,undistorted_GX010067_33_625,0.1886045151920937,167.06570981309292,167.39169385715095,168.80935855604383,167.22870183512194,total,0.272177,0.696292,full body:undistorted_GX010067_33_625.jpg_gamma,Prawn_2,147.809,8.098737802892495,4.675808450596181,146.928,138.36,158.139,-164.533,-165.964,-165.513,58.189,61.984,54.601,1.230960202536279,161.7609650902319,859.4328287651691,804.1152576234539,0.1881594929004144,0.1882182756768201,67ee457267583908e8ad2e7e,151.3019191079152,650.0,151.5681142913785,854.9593392,857.6106240000001,863.4547539000001,right,804.1152576234539,9.353801032028887,4.323462834648523,2.976913255414343,12.94191910791517,6.837080892084828,4.373919107915185,13.20811429137851,6.570885708621489,4.640114291378524,9.546194197295826,4.155132958107417,3.158087152468232,23.40096509023189,3.621965090231896,14.83296509023191,16.91309994957494,2.290368024479664,10.09539712664156,0.998556339161377,undistorted_GX010067_33_625,spatial_match
undistorted_GX010068_26_666.jpg_gamma_obj2_cropped0.644743_0.8728269999999999,1.jpg,756.1911,764.0157,760.6083,760.1034,0.1,OK,,undistorted_GX010068_26_666.jpg_gamma,undistorted_GX010068_26_666,0.1906759462293831,144.18745352273808,145.67941653160452,145.02970731242252,144.9334350271713,total,0.644743,0.8728269999999999,full body:undistorted_GX010068_26_666.jpg_gamma,Prawn_2,123.1726666666667,3.386593207864737,1.955250500196464,124.833,126.233,118.452,15.224,16.22,17.241,52.469,54.452,61.522,1.230960202536279,136.1015705663287,723.4977819186519,713.9323577608568,0.1881418275253463,0.1881160854500471,67ee457467583908e8ad315c,134.320538518607,650.0,134.5694913403602,654.9862677,687.3639316,728.7403944,right,713.9323577608568,13.39659821582325,6.406833806220995,7.600184661593428,15.86853851860695,8.087538518606948,9.487538518606925,16.11749134036017,8.336491340360169,9.736491340360146,13.60677011815771,6.604050716025261,7.799613355731372,17.64957056632869,9.868570566328685,11.26857056632866,14.90018789579635,7.817742243572351,9.026916413391218,0.9983868944133699,undistorted_GX010068_26_666,spatial_match
undistorted_GX010068_26_666.jpg_gamma_obj1_cropped0.540877_0.669256,1.jpg,697.6855,699.4119,705.5105,698.5487,1.0,OK,,undistorted_GX010068_26_666.jpg_gamma,undistorted_GX010068_26_666,0.1906759462293831,133.0318428830203,133.3610258365907,134.5238821622652,133.1964343598055,total,0.540877,0.669256,full body:undistorted_GX010068_26_666.jpg_gamma,Prawn_1,115.2496666666667,5.835320061678036,3.369023608417438,115.609,122.21,107.93,117.917,116.411,118.418,52.469,54.452,61.522,1.230960202536279,130.6898153075673,704.9798116559157,699.8220412950885,0.1854659489484765,0.1853809331086973,67ee457467583908e8ad315a,129.7931589838535,650.0,131.9098302550925,606.5888621,665.4578919999999,664.0069460000001,right,699.8220412950885,20.25679513004121,6.20502330730177,12.2690785179817,21.86315898385348,7.583158983853494,14.18415898385346,23.97983025509251,9.699830255092522,16.30083025509249,22.21794705373159,7.937018456012209,14.09996648625322,22.75981530756729,8.479815307567307,15.08081530756728,21.08757093261122,6.938724578649298,13.04467239364347,0.9965809163754882,undistorted_GX010068_26_666,spatial_match
undistorted_GX010068_27_795.jpg_gamma_obj1_cropped0.552035_0.17379999999999998,1.jpg,768.4068,773.2095,789.6487,770.8082,2.4,OK,,undistorted_GX010068_27_795.jpg_gamma,undistorted_GX010068_27_795,0.1935134298320303,148.69703537425497,149.62642232370928,152.80762829940397,149.16173852465363,total,0.552035,0.17379999999999998,full body:undistorted_GX010068_27_795.jpg_gamma,Prawn_0,137.5886666666667,6.052791385431646,3.494580735727609,129.706,144.42,138.64,92.793,93.691,94.375,50.636,51.624,52.953,1.230960202536279,140.0648552272944,758.4084509648346,781.5677065466567,0.1846801024850292,0.1846826140308778,67ee457467583908e8ad32a8,144.3400041440258,650.0,147.3181143489585,656.7793015999999,745.5538079999999,734.140392,right,781.5677065466567,11.28244194102495,0.05539112032556111,4.111370559741673,14.63400414402582,0.07999585597417536,5.700004144025854,17.61211434895856,2.898114348958558,8.678114348958587,13.57848854251812,2.006726456833235,6.259459282284038,10.35885522729444,4.355144772705557,1.424855227294472,7.986411752189138,3.015610561352692,1.027737469196821,0.9719710462148372,undistorted_GX010068_27_795,spatial_match
undistorted_GX010069_19_191.jpg_gamma_obj1_cropped0.165613_0.393015,1.jpg,620.0556,627.8551,636.4629,623.9554,2.0,OK,,undistorted_GX010069_19_191.jpg_gamma,undistorted_GX010069_19_191,0.1793593284786741,111.2127560354414,112.61166911791082,114.15555834558955,111.91222154464256,total,0.165613,0.393015,full body:undistorted_GX010069_19_191.jpg_gamma,Prawn_0,102.9623333333333,5.072948014276862,2.928867901627724,105.422,107.569,95.896,151.882,151.821,151.113,56.356,59.059,62.169,1.230960202536279,108.7610278024817,580.2341849087918,674.9011121422704,0.1875569811753065,0.1874433300057599,67ee457367583908e8ad300f,126.5824151852613,650.0,127.2124710117856,594.1162231999999,635.2917571,596.1758424,right,674.9011121422704,31.99968214029913,17.67555260833628,20.07210561861972,30.68641518526125,19.01341518526125,21.16041518526127,31.31647101178558,19.64347101178558,21.7904710117856,32.6567020645132,18.26127509950411,20.66975679818786,12.86502780248175,1.192027802481746,3.339027802481766,13.41560419880052,1.108151793250608,3.167296961243162,0.9943429904653006,undistorted_GX010069_19_191,spatial_match
undistorted_GX010069_19_191.jpg_gamma_obj2_cropped0.680402_0.8831689999999999,1.jpg,728.1566,735.2911,735.3707,731.7238,0.5,OK,,undistorted_GX010069_19_191.jpg_gamma,undistorted_GX010069_19_191,0.1793593284786741,130.60167880331457,131.88131793234567,131.89559493489256,131.24148939986367,total,0.680402,0.8831689999999999,full body:undistorted_GX010069_19_191.jpg_gamma,Prawn_3,112.2163333333333,1.812010362982385,1.046164670842272,114.768,111.145,110.736,-5.323,-6.649,-6.506,56.356,59.059,62.169,1.230960202536279,123.5570847433709,655.6998929707786,627.0923885994426,0.1884349272929344,0.188435420026639,67ee457367583908e8ad3011,118.1661086516886,650.0,118.2009791822679,646.7865408,656.4112554999999,688.4346383999999,right,627.0923885994426,6.709749902189492,2.960850282037292,6.317071079840344,7.430108651688556,3.39810865168856,7.02110865168855,7.464979182267896,3.4329791822679,7.05597918226789,6.741239689231953,2.991233777941499,6.348444988319662,12.82108474337088,8.789084743370879,12.41208474337087,11.57806381246467,7.658131834109576,11.16747019062564,0.9878043117933895,undistorted_GX010069_19_191,spatial_match
undistorted_GX010071_22_444.jpg_gamma_obj1_cropped0.157858_0.757993,1.jpg,694.7841,690.0065,708.0177,692.3953,2.3,OK,,undistorted_GX010071_22_444.jpg_gamma,undistorted_GX010071_22_444,0.197024923652842,136.88978425770858,135.94847798246477,139.49713328736084,136.4191311200867,total,0.157858,0.757993,full body:undistorted_GX010071_22_444.jpg_gamma,Prawn_1,126.04,9.493577653691293,5.481119613931284,113.245,128.915,135.96,91.116,89.673,89.367,54.406,54.3,53.254,1.230960202536279,129.2778932278473,700.0178569150933,666.5355681959816,0.1847169810295573,0.1846779934979968,67ee457467583908e8ad31b4,123.1204379059823,650.0,125.6356451663115,616.120747,700.0084499999999,724.041384,right,666.5355681959816,8.720418478504413,9.443632019724683,4.494870336281786,9.875437905982324,12.83956209401768,5.794562094017664,12.39064516631154,10.32435483368846,3.279354833688444,10.94145010050028,7.593670810303369,2.543811684977268,16.03289322784727,6.682106772152736,0.3628932278472803,14.15770517713565,4.914759320500687,0.2814980629463447,0.8714923092127072,undistorted_GX010071_22_444,spatial_match
undistorted_GX010073_42_695.jpg_gamma_obj1_cropped0.233215_0.16234,1.jpg,498.9078,504.3858,498.0361,501.6468,0.7,OK,,undistorted_GX010073_42_695.jpg_gamma,undistorted_GX010073_42_695,0.1969201685636643,98.24500807372692,99.32373675711868,98.07335276278997,98.78437241542278,total,0.233215,0.16234,full body:undistorted_GX010073_42_695.jpg_gamma,Prawn_1,84.04366666666665,5.994811775378959,3.46110619225618,92.512,79.46,80.159,-56.997,-52.829,-55.211,50.01,57.489,57.723,1.230960202536279,89.46737395552918,481.7302765635766,488.9581867291323,0.1860939600623819,0.1857208863718195,67ee457267583908e8ad2efc,90.99216527334579,650.0,92.16398971075154,462.652512,456.807594,462.7017957,right,488.9581867291323,14.51317049250667,1.642851442682258,13.51459633147345,11.5321652733458,1.51983472665421,10.8331652733458,12.70398971075154,0.3480102892484638,12.00498971075154,15.98790550056827,0.3761785381879797,14.97647140152889,10.00737395552919,3.044626044470817,9.308373955529191,12.59422848669669,3.291060667233243,11.61238782361206,0.9888632791395804,undistorted_GX010073_42_695,spatial_match
