image_name,lobster_size,total_length,carapace_length,eye_x,eye_y,pixels_total_length,pixels_carapace_length,sample_id,filepath,tags,detections.label,labels,diff_big,diff_small,new_class
undistorted_GX010194_7_885,small,154.7,36.5,2240.9,709.6,1391.6,328.0,{'$oid': '68736034b54ea3950eac7267'},data/undistorted_GX010194_7_885.jpg,Square|shai_measured|shai_measurements_2|small mpe<5|good,1317.27|1748.005|small_prawn,1317.27|1748.005|eyes|rostrum|small_prawn|start_carapace|tail,25.30000000000001,9.699999999999989,small
undistorted_GX010194_6_845,small,144.9,37.0,2804.4,773.2,1303.0,333.4,{'$oid': '68736034b54ea3950eac725e'},data/undistorted_GX010194_6_845.jpg,Square|small mpe5<x<10|good,small_prawn,eyes|rostrum|small_prawn|start_carapace|tail,35.099999999999994,0.09999999999999432,small
undistorted_GX010194_63_894,small,144.3,36.6,2114.5,780.1,1297.5,328.9,{'$oid': '68736034b54ea3950eac724a'},data/undistorted_GX010194_63_894.jpg,Square|small mpe5<x<10|good,small_prawn,eyes|rostrum|small_prawn|start_carapace|tail,35.69999999999999,0.6999999999999886,small
undistorted_GX010194_62_878,small,149.2,37.7,2395.7,746.8,1340.9,339.2,{'$oid': '68736034b54ea3950eac7247'},data/undistorted_GX010194_62_878.jpg,Square|small mpe<5|good,small_prawn,eyes|rostrum|small_prawn|start_carapace|tail,30.80000000000001,4.199999999999989,small
undistorted_GX010194_61_852,big,149.4,36.6,2758.3,712.9,1416.6,347.2,{'$oid': '68736034b54ea3950eac7244'},data/undistorted_GX010194_61_852.jpg,Square|small mpe<5|1_low_visibility_keypoints|1_low_visibility_keypoints|good,low_visibility_prawn|small_prawn,eyes|low_visibility_prawn|rostrum|small_prawn|start_carapace|tail,30.599999999999994,4.400000000000006,small
undistorted_GX010194_5_757,big,171.1,42.1,3278.7,840.6,1613.8,396.6,{'$oid': '68736034b54ea3950eac7232'},data/undistorted_GX010194_5_757.jpg,Square|big mpe5<x<10|good,big_prawn,big_prawn|eyes|rostrum|start_carapace|tail,8.900000000000006,26.099999999999994,big
undistorted_GX010194_3_360,small,137.0,33.6,1783.4,2027.2,1228.4,301.4,{'$oid': '68736034b54ea3950eac7215'},data/undistorted_GX010194_3_360.jpg,Square|small mpe10<x<20|good,small_prawn,eyes|rostrum|small_prawn|start_carapace|tail,43.0,8.0,small
undistorted_GX010194_38_504,small,151.8,33.4,2403.2,1660.8,1370.0,301.6,{'$oid': '68736034b54ea3950eac7212'},data/undistorted_GX010194_38_504.jpg,Square|small mpe<5|good,small_prawn,eyes|rostrum|small_prawn|start_carapace|tail,28.19999999999999,6.800000000000011,small
undistorted_GX010194_37_496,small,153.3,34.5,2413.9,1334.7,1383.6,311.2,{'$oid': '68736034b54ea3950eac720f'},data/undistorted_GX010194_37_496.jpg,Square|small mpe<5|good,small_prawn,eyes|rostrum|small_prawn|start_carapace|tail,26.69999999999999,8.300000000000011,small
undistorted_GX010194_36_485,small,140.9,33.2,2388.0,856.4,1270.9,299.5,{'$oid': '68736034b54ea3950eac720c'},data/undistorted_GX010194_36_485.jpg,Square|small mpe5<x<10|good,small_prawn,eyes|rostrum|small_prawn|start_carapace|tail,39.099999999999994,4.099999999999994,small
