 ,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Angle,Length
1,Shai - exuviae:undistorted_GX010191_5_190,1030,131.196,29.609,166.129,3660,36,41,1029,-87.772,1028.778
2,Shai - exuviae:undistorted_GX010191_8_309,791,156.202,55.333,175.122,2456,1376,733,297,22.017,789.582
3,Shai - exuviae:undistorted_GX010191_8_309,914,136.62,84.361,170.768,3860,1736,157,901,-80.166,913.42
4,Shai - exuviae:undistorted_GX010191_10_370,697,127.49,40,189.921,3092,1716,245,653,69.482,696.161
5,Shai - exuviae:undistorted_GX010191_10_370,940,154.028,81.667,180.81,4084,1360,837,429,-27.111,939.191
6,Shai - exuviae:undistorted_GX010191_14_460,966,164.278,76,192.016,3064,648,221,941,76.827,965.401
7,Shai - exuviae:undistorted_GX010191_14_460,793,141.057,42.333,182.46,3536,2224,793,5,-179.711,792.01
8,Shai - exuviae:undistorted_GX010191_15_479,933,158.736,67.333,196.074,3064,1248,5,933,89.754,932.009
9,Shai - exuviae:undistorted_GX010191_15_479,707,81.19,48,164.241,3712,2484,685,177,-165.57,706.28
10,Shai - exuviae:undistorted_GX010191_16_495,915,165.486,87.953,193.333,3032,1736,261,877,106.531,913.77
11,Shai - exuviae:undistorted_GX010191_16_495,700,87.964,10.333,157.996,4056,2536,605,353,-149.767,699.085
12,Shai - exuviae:undistorted_GX010191_17_509,878,154.754,40.71,200.667,3220,2060,477,737,122.892,876.511
13,Shai - exuviae:undistorted_GX010191_17_509,706,121.178,60,169.333,4500,2340,473,525,-132.011,705.238
14,Shai - exuviae:undistorted_GX010191_27_215,1037,131.282,71,169.689,3704,404,185,1021,-79.774,1036.463
15,Shai - exuviae:undistorted_GX010191_28_230,803,159.117,98.46,192.796,2348,240,725,345,25.414,801.568
16,Shai - exuviae:undistorted_GX010191_28_230,1025,127.749,25.078,156.87,3828,660,181,1009,-79.875,1023.945
17,Shai - exuviae:undistorted_GX010191_31_283,757,154.267,51.333,196.76,2356,1056,709,265,20.45,755.619
18,Shai - exuviae:undistorted_GX010191_31_283,947,138.038,53.297,171.404,3776,1492,105,941,-83.687,945.736
19,Shai - exuviae:undistorted_GX010191_32_305,791,147.524,87.96,176.063,2516,1328,741,277,20.454,789.795
20,Shai - exuviae:undistorted_GX010191_32_305,949,127.867,35.565,176.388,3908,1728,173,933,-79.544,947.738
21,Shai - exuviae:undistorted_GX010191_34_350,723,136.294,75.475,181.211,2796,1692,489,533,47.47,721.92
22,Shai - exuviae:undistorted_GX010191_34_350,954,151.541,36.333,184.855,4072,1652,601,741,-50.964,952.68
23,Shai - exuviae:undistorted_GX010191_34_1128,799,155.065,38,200.93,3060,292,737,309,-22.708,797.847
24,Shai - exuviae:undistorted_GX010191_34_1128,951,138.428,55.012,168.703,3404,1416,561,769,-126.098,950.486
25,Shai - exuviae:undistorted_GX010191_35_367,707,142.542,73.667,172.743,3064,1704,253,661,69.102,706.473
26,Shai - exuviae:undistorted_GX010191_35_367,927,147.18,59.118,170.229,4092,1392,793,481,-31.218,926.102
27,Shai - exuviae:undistorted_GX010191_35_1167,771,154.688,47.898,184.515,2844,644,761,125,9.267,770.049
28,Shai - exuviae:undistorted_GX010191_35_1167,972,112.76,32.667,175.297,4092,1204,77,969,-94.489,970.979
29,Shai - exuviae:undistorted_GX010191_36_1195,770,133.5,29.564,180.917,2872,548,589,497,40.149,769.259
30,Shai - exuviae:undistorted_GX010191_36_1195,983,114.423,51.395,169.625,4312,720,437,881,-63.644,982.088
31,Shai - exuviae:undistorted_GX010191_37_1242,720,148.253,98.659,170.629,2764,948,221,685,72.17,718.51
32,Shai - exuviae:undistorted_GX010191_37_1242,983,138.261,74.632,172.276,3780,608,869,461,-27.922,982.356
33,Shai - exuviae:undistorted_GX010191_38_1266,717,144.944,37.991,183.498,2768,1296,77,713,96.093,716.045
34,Shai - exuviae:undistorted_GX010191_38_1266,1002,148.363,59.134,176,3308,648,1001,41,-2.291,1000.8
35,Shai - exuviae:undistorted_GX010191_41_1322,960,152.652,70.867,185.694,2628,764,117,953,83.053,959.041
36,Shai - exuviae:undistorted_GX010191_41_1322,752,143.713,14.667,183.979,3160,2240,749,65,-175.11,750.733
37,Shai - exuviae:undistorted_GX010191_42_457,1013,171.756,51.333,209.565,3124,504,237,985,76.513,1011.905
38,Shai - exuviae:undistorted_GX010191_42_457,770,140.77,54,169.055,3604,2132,769,37,177.316,768.843
39,Shai - exuviae:undistorted_GX010191_42_1339,946,164.634,39.667,201.485,2600,1208,345,881,111.351,944.847
40,Shai - exuviae:undistorted_GX010191_42_1339,728,110.807,50.077,174.26,3728,1880,597,417,-145.085,726.823
41,Shai - exuviae:undistorted_GX010191_43_1353,933,157.502,44.333,189.011,2724,1548,693,625,137.958,931.794
42,Shai - exuviae:undistorted_GX010191_43_1353,749,85.011,32,165.525,4216,1416,389,641,-121.226,748.428
43,Shai - exuviae:undistorted_GX010191_46_1396,955,157.489,99.809,176.253,3636,1108,841,453,-151.716,953.889
44,Shai - exuviae:undistorted_GX010191_47_507,874,158.245,77.731,194.811,3184,2032,457,745,121.504,872.624
45,Shai - exuviae:undistorted_GX010191_47_507,700,121.505,32.333,165.424,4420,2396,517,473,-137.55,699.314
46,Shai - exuviae:undistorted_GX010191_88_1016,1039,151.122,67.289,183.855,3104,12,265,1005,-104.732,1038.129
47,Shai - exuviae:undistorted_GX010191_90_1036,1010,158.696,34,184.931,2896,432,605,809,-126.779,1008.801
48,Shai - exuviae:undistorted_GX010191_94_1132,823,153.479,28.338,180.844,3052,368,777,273,-19.316,822.289
49,Shai - exuviae:undistorted_GX010191_94_1132,972,135.532,34.333,180.4,3480,1424,521,821,-122.381,970.979
50,Shai - exuviae:undistorted_GX010191_100_1250,734,145.59,35,185.27,2776,1088,137,721,79.303,732.732
51,Shai - exuviae:undistorted_GX010191_100_1250,1018,128.581,23.382,167.856,3612,656,949,369,-21.215,1016.921
52,Shai - exuviae:undistorted_GX010191_101_1265,702,147.305,98.319,174.54,2768,1288,85,697,96.882,701.051
53,Shai - exuviae:undistorted_GX010191_101_1265,994,154.054,55,183.517,3332,644,993,49,-2.77,993.161
54,Shai - exuviae:undistorted_GX010191_105_1312,994,172.964,74,213.659,2528,536,393,913,66.741,992.677
55,Shai - exuviae:undistorted_GX010191_105_1312,695,156.956,85.333,186.388,2920,2156,685,121,170.049,694.447
56,Shai - exuviae:undistorted_GX010191_106_1320,966,172.91,70,206.571,2560,692,157,953,80.694,964.697
57,Shai - exuviae:undistorted_GX010191_106_1320,734,144.336,36.667,180.274,3092,2220,733,29,-177.809,732.535
58,Shai - exuviae:undistorted_GX010191_110_1355,929,158.782,68.351,192.196,2728,1592,729,577,141.649,928.31
59,Shai - exuviae:undistorted_GX010191_110_1355,722,90.795,41.667,157.667,4252,1344,341,637,-118.129,721.177
60,Shai - exuviae:undistorted_GX010191_114_1383,938,146.498,96.333,164.144,3448,1576,929,129,-172.147,936.786
61,Shai - exuviae:undistorted_GX010191_114_1383,816,141.493,44.667,163.55,4616,104,261,773,-71.387,814.607
62,Shai - exuviae:undistorted_GX010191_117_1408,980,131.223,64.03,185.075,3760,560,677,709,-133.675,978.897
63,Shai - exuviae:undistorted_GX010191_118_1415,1040,135.744,44.283,168.733,3820,172,533,893,-120.812,1038.599
64,Shai - exuviae:undistorted_GX010192_26_1578,1719,129.059,68.585,165.192,3392,204,729,1557,-64.927,1717.882
65,Shai - exuviae:undistorted_GX010192_26_1578,1327,154.548,68.333,180.535,2128,1296,361,1277,74.245,1325.811
66,Shai - exuviae:undistorted_GX010193_7_360,1296,131.933,71,160.313,1816,2188,1273,245,-10.859,1295.191
67,Shai - exuviae:undistorted_GX010193_11_1065,1742,130.953,78.167,171.02,2152,1256,973,1445,-56.054,1740.667
68,Shai - exuviae:undistorted_GX010193_18_1289,1353,140.387,82.351,168.247,2068,552,521,1249,-67.38,1352
69,Shai - exuviae:undistorted_GX010193_19_1334,1304,130.121,88.811,164.441,1032,752,1045,781,-36.764,1303.202
70,Shai - exuviae:undistorted_GX010193_19_1334,1666,120.995,62.667,157.105,1164,2692,1661,125,-175.728,1664.625
71,Shai - exuviae:undistorted_GX010193_20_1365,1189,130.869,33.333,153.528,124,1364,1177,169,-8.13,1187.939
72,Shai - exuviae:undistorted_GX010193_27_1553,1767,128.617,46.667,162.577,1672,108,253,1749,81.796,1766.071
73,Shai - exuviae:undistorted_GX010193_27_1553,1420,120.455,43,155.12,3036,568,1101,897,-140.836,1418.737
74,Shai - exuviae:undistorted_GX010193_28_1584,1373,132.928,47,162,2612,108,553,1257,-113.725,1371.948
75,Shai - exuviae:undistorted_GX010193_28_1584,1714,122.749,76.902,152.333,1020,724,581,1613,109.789,1713.168
76,Shai - exuviae:undistorted_GX010194_6_101,1791,134.945,60.18,179,2600,80,193,1781,96.156,1790.325
77,Shai - exuviae:undistorted_GX010194_6_101,1329,133.104,51.264,162.52,3828,372,1289,325,-14.12,1328.126
78,Shai - exuviae:undistorted_GX010194_7_885,1318,155.96,73.515,176.121,1836,252,661,1141,59.931,1317.27
79,Shai - exuviae:undistorted_GX010194_7_885,1749,129.248,58.131,166,1240,2612,1733,237,172.241,1748.005
80,Shai - exuviae:undistorted_GX010194_19_285,1280,143.115,40.95,170.281,1584,1032,717,1061,124.038,1279.162
81,Shai - exuviae:undistorted_GX010194_26_373,1218,150.946,81.667,179,1072,1548,1053,613,30.189,1217.065
82,Shai - exuviae:undistorted_GX010194_39_513,1309,156.869,47.333,179.686,2436,1320,33,1309,-91.401,1308.391
83,Shai - exuviae:undistorted_GX010194_60_836,1735,134.509,47.373,170.459,2208,2544,1733,77,177.487,1733.667
84,Shai - exuviae:undistorted_GX010194_60_836,1380,156.28,64.333,181.049,2608,52,561,1261,66.038,1378.84
85,Shai - exuviae:undistorted_GX010194_65_928,1284,139.73,53,165.564,1808,440,581,1145,63.115,1282.629
