Label,PrawnID,Pond_Type,mean_length,std_length,Length_fov(mm),mean_pixels,pred_Distance_pixels,Length_ground_truth_annotation_pixels,mean_scale,pred_scale,std_scale,Scale_1,Scale_2,Scale_3,std_pixels
full body:undistorted_GX010077_14_237.jpg_gamma,Prawn_0,circle_female,75.62400000000001,3.4842906021168774,88.2238618583865,397.14444856666665,475.9868599521351,381.9356640200285,52.61633333333333,53.95216780650236,3.2798466935717174,48.918,53.759,55.172,7.030494816503553
full body:undistorted_GX010077_14_237.jpg_gamma,Prawn_1,circle_female,119.40899999999999,7.5343466206433565,130.3072585703342,626.9877596666666,701.8596644282127,703.4749854531074,52.61633333333333,53.86190087403146,3.2798466935717174,48.918,53.759,55.172,26.136595755847175
full body:undistorted_GX010077_14_237.jpg_gamma,Prawn_2,circle_female,104.47133333333333,11.1184769340649,121.3854113491351,551.0728049333334,656.6099787137315,580.5061590391097,52.61633333333333,54.092989545931125,3.2798466935717174,48.918,53.759,55.172,84.2439402746747
full body:undistorted_GX010067_33_625.jpg_gamma,Prawn_0,circle_female,120.64933333333333,11.749096745424026,139.7802545895399,700.4008776333334,748.3019646333037,684.9704688813531,58.258,53.53416810054235,3.6919836131814034,58.189,61.984,54.601,35.51284570520947
full body:undistorted_GX010067_33_625.jpg_gamma,Prawn_1,circle_female,93.004,6.587384837703051,102.7217873465614,540.5927345,551.0397602452871,531.465366737147,58.258,53.643903058870706,3.6919836131814034,58.189,61.984,54.601,24.659267283992143
full body:undistorted_GX010067_33_625.jpg_gamma,Prawn_2,circle_female,147.809,9.918887588837771,151.3019191079152,858.6749057000001,804.1152576234539,859.4328287651691,58.258,53.146401735322556,3.6919836131814034,58.189,61.984,54.601,4.346554886799485
full body:undistorted_GX010067_33_625.jpg_gamma,Prawn_3,circle_female,89.831,7.808497166548762,92.62644213355016,521.4326580000001,491.6732916785696,514.9316657389987,58.258,53.081310299025404,3.6919836131814034,58.189,61.984,54.601,14.444046229270043
full body:undistorted_GX010068_26_666.jpg_gamma,Prawn_0,circle_female,112.46333333333332,8.237980112462841,118.3209877143123,628.8422166333332,635.8323270382492,652.8786604470771,56.14766666666666,53.73791575958404,4.758746298483806,52.469,54.452,61.522,5.7935512718531745
full body:undistorted_GX010068_26_666.jpg_gamma,Prawn_1,circle_female,115.24966666666667,7.146778318468626,129.7931589838535,645.3512333666666,699.8220412950885,704.9798116559157,56.14766666666666,53.918253224898216,4.758746298483806,52.469,54.452,61.522,33.577036509121925
full body:undistorted_GX010068_26_666.jpg_gamma,Prawn_2,circle_female,123.17266666666667,4.147712662821926,134.320538518607,690.3635312333332,713.9323577608568,723.4977819186519,56.14766666666666,53.151391859701185,4.758746298483806,52.469,54.452,61.522,36.96844600182883
full body:undistorted_GX010068_27_795.jpg_gamma,Prawn_0,circle_female,137.58866666666665,7.4131252069106,144.3400041440258,712.1578338666665,781.5677065466567,758.4084509648346,51.73766666666668,54.14768491809036,1.1626746463793445,50.636,51.624,52.953,48.297545415941634
full body:undistorted_GX010068_27_795.jpg_gamma,Prawn_1,circle_female,136.09433333333334,2.7650425554289924,124.309505044012,703.9318312666668,662.7447481209406,714.257474491412,51.73766666666668,53.31408470223533,1.1626746463793445,50.636,51.624,52.953,7.398100007367508
full body:undistorted_GX010069_19_191.jpg_gamma,Prawn_0,circle_female,102.96233333333333,6.213067063321732,126.5824151852613,608.5279409,674.9011121422704,580.2341849087918,59.19466666666667,53.31713027868132,2.908873722479771,56.356,59.059,62.169,23.201010775455273
full body:undistorted_GX010069_19_191.jpg_gamma,Prawn_1,circle_female,87.69233333333334,2.332461646701465,100.5173592459666,518.6996168666666,533.8621896813747,539.2941548244797,59.19466666666667,53.111442012221055,2.908873722479771,56.356,59.059,62.169,15.120359675012754
full body:undistorted_GX010069_19_191.jpg_gamma,Prawn_2,circle_female,108.03966666666668,5.218039127232882,117.3319023643254,638.5259727666665,626.9905528988538,620.3863224591349,59.19466666666667,53.43734655831247,2.908873722479771,56.356,59.059,62.169,0.5486411547425967
full body:undistorted_GX010069_19_191.jpg_gamma,Prawn_3,circle_female,112.21633333333334,2.219250398971088,118.1661086516886,663.8774782333334,627.0923885994426,655.6998929707786,59.19466666666667,53.06871790522328,2.908873722479771,56.356,59.059,62.169,21.80480153206141
