 ,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Angle,Length
1,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,59,221.71,195,225.738,513,780,57,17,16.082,57.76
2,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,60,221.677,186.667,226.002,514,781,57,18,16.887,58.523
3,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,60,221.429,189.667,225.563,514,782,57,16,15.341,58.588
4,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,58,222.222,202.667,225.545,514,782,56,16,-164.745,57.009
5,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,59,221.783,197.417,225.667,513,781,57,17,16.557,57.901
6,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,59,221.769,191.354,225.402,514,781,56,18,16.958,58.284
7,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,60,221.551,193.271,225.506,513,780,57,19,17.121,58.597
8,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,58,222.189,193.271,225.558,515,780,55,18,17.158,56.777
9,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,58,222.323,193.271,225.567,515,780,55,19,17.879,57.003
10,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,58,222.646,200.208,225.777,515,782,55,17,16.432,56.56
11,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,59,222.024,200.208,225.34,513,782,57,17,16.013,58.001
12,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,58,222.287,202.667,225.46,513,782,56,17,15.671,57.383
13,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,58,222.747,204.583,226.369,514,782,55,17,16.361,56.8
14,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,58,222.567,201.083,226.383,514,782,56,17,16.22,57.28
15,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,58,222.963,201.083,228.342,514,782,56,18,17.324,57.09
16,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,58,222.819,199.333,228.36,514,782,56,18,17.488,57.403
17,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,58,222.69,199.333,227.288,514,782,56,18,16.771,57.182
18,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,59,222.743,195.792,226.279,515,783,56,19,17.575,57.955
19,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,58,222.999,199.333,225.456,515,783,55,19,18.04,57.318
20,undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357-2.jpg,58,222.962,199.333,227.425,514,783,56,18,16.771,57.182
