image_name,lobster_size,total_length,carapace_length,eye_x,eye_y,pixels_total_length,pixels_carapace_length
colored_undistorted_GX010191_100_1250,small,138.8,36.9,2853.8,1416.3,739.4,196.5
colored_undistorted_GX010191_101_1265,small,159.3,41.5,3869.9,622.8,835.6,217.5
colored_undistorted_GX010191_102_1277,small,148.5,40.3,2765.6,1771.4,790.1,214.6
colored_undistorted_GX010191_103_1289,small,133.5,34.1,2814.9,1981.0,707.2,180.5
colored_undistorted_GX010191_104_1301,big,187.1,47.5,2851.4,717.2,1006.0,255.1
colored_undistorted_GX010191_104_1301,small,133.0,33.0,2942.0,2112.3,700.8,173.8
colored_undistorted_GX010191_105_1312,big,171.6,39.8,2780.7,935.6,924.6,214.6
colored_undistorted_GX010191_105_1312,small,137.2,34.7,3242.7,2205.3,720.3,181.9
colored_undistorted_GX010191_106_1320,small,150.4,37.5,2677.7,1177.7,801.8,200.1
colored_undistorted_GX010191_107_1330,small,168.8,44.5,2576.3,1457.9,899.8,237.0
colored_undistorted_GX010191_108_1337,small,166.5,39.2,4988.5,1223.6,886.9,208.8
colored_undistorted_GX010191_109_1347,small,159.5,38.6,2846.6,1816.8,845.8,204.7
colored_undistorted_GX010191_10_370,small,144.7,35.5,4558.5,1529.4,762.6,186.9
colored_undistorted_GX010191_110_1355,small,162.4,39.5,3064.0,1873.2,857.3,208.7
colored_undistorted_GX010191_111_1364,small,146.3,34.3,3245.4,1933.4,768.8,180.2
colored_undistorted_GX010191_112_1369,small,143.1,33.2,3438.9,1842.2,751.5,174.1
colored_undistorted_GX010191_113_1378,small,153.6,35.2,1437.2,1484.7,809.4,185.4
colored_undistorted_GX010191_114_1383,small,145.1,31.7,4783.2,521.0,772.3,168.8
colored_undistorted_GX010191_116_1399,small,158.7,38.6,4098.1,1209.0,836.9,203.6
colored_undistorted_GX010191_117_1408,big,166.4,39.8,4078.9,984.5,893.4,213.7
colored_undistorted_GX010191_117_1408,small,168.9,40.4,4078.9,984.5,893.4,213.7
colored_undistorted_GX010191_118_1415,big,168.5,37.3,4079.6,669.2,908.0,201.2
