Missing in folder1,Missing in folder2
GX010120_64,GX010139_32
GX010120_80,GX010147_110
GX010121_42,GX010130_69
GX010123_55,GX010146_45
GX010121_112,GX010131_117
GX010128_22,GX010148_49
GX010119_56,GX010133_9
GX010119_52,GX010136_117
GX010122_160,GX010129_22
GX010119_46,GX010150_39
GX010119_24,GX010130_92
GX010122_161,GX010132_80
GX010122_167,GX010136_19
GX010122_168,GX010150_75
GX010119_208,GX010131_89
GX010119_66,GX010139_407
GX010120_66,GX010139_286
GX010122_140,GX010149_61
GX010121_113,GX010128_81
GX010119_210,GX010147_39
GX010184_56,GX010149_41
GX010121_100,GX010130_139
GX010119_47,GX010136_115
GX010120_31,GX010150_25
GX010119_43,GX010129_272
GX010121_114,GX010129_263
GX010119_68,GX010144_38
GX010122_172,GX010132_157
GX010122_173,GX010132_99
GX010120_26,GX010132_156
GX010120_76,GX010139_299
GX010119_54,GX010129_246
GX010121_43,GX010139_57
GX010122_170,GX010144_40
GX010119_42,GX010132_90
GX010120_50,GX010132_92
GX010121_40,GX010147_111
GX010129_179,GX010149_60
GX010120_27,GX010139_554
GX010119_40,GX010139_408
GX010120_25,GX010147_43
GX010122_101,GX010145_66
GX010122_171,GX010145_93
GX010123_57,GX010148_33
GX010120_29,GX010144_137
GX010157_275,GX010136_24
GX010121_41,GX010133_7
GX010121_38,GX010136_51
GX010122_159,GX010139_412
GX010119_39,GX010139_508
GX010119_58,GX010146_92
GX010120_30,GX010146_68
GX010119_38,GX010133_6
GX010119_22,GX010136_72
GX010120_79,GX010136_22
GX010121_39,GX010136_118
GX010122_76,GX010139_7
GX010121_44,GX010146_54
GX010121_72,GX010129_232
GX010122_70,GX010128_66
GX010132_114,GX010147_60
GX010122_46,GX010136_196
GX010119_62,GX010131_86
GX010119_67,GX010139_158
GX010122_69,GX010139_411
GX010145_96,GX010133_178
GX010121_82,GX010131_125
GX010120_74,GX010130_10
GX010121_31,GX010136_73
GX010120_32,GX010146_80
GX010123_68,GX010133_87
GX010128_23,GX010136_192
GX010122_169,GX010139_597
GX010123_56,GX010145_67
GX010122_45,GX010133_94
GX010120_114,GX010139_574
GX010119_57,GX010129_108
GX010119_53,GX010136_187
GX010154_251,GX010148_27
GX010179_50,GX010129_178
GX010120_63,GX010132_91
GX010120_75,GX010149_59
GX010119_209,GX010150_38
GX010121_99,GX010139_575
GX010122_174,GX010130_36
GX010119_23,GX010147_95
GX010120_65,GX010146_48
GX010121_32,GX010149_73
GX010121_102,GX010139_390
GX010122_47,GX010149_57
GX010121_101,GX010136_195
GX010119_59,GX010149_39
GX010121_37,GX010132_158
GX010121_36,GX010139_74
GX010122_78,GX010133_5
,GX010139_288
,GX010139_160
,GX010147_54
,GX010136_90
,GX010145_50
,GX010129_52
,GX010146_51
,GX010139_165
,GX010147_53
,GX010149_54
,GX010129_257
,GX010133_168
,GX010131_123
,GX010132_153
,GX010145_92
,GX010129_153
,GX010132_75
,GX010130_126
,GX010148_32
,GX010136_186
,GX010129_24
,GX010147_51
,GX010149_29
,GX010149_74
,GX010133_186
,GX010129_261
,GX010145_68
,GX010136_81
,GX010146_41
,GX010130_124
,GX010149_15
,GX010145_61
,GX010133_187
,GX010139_555
,GX010129_124
,GX010129_107
,GX010139_556
,GX010132_79
,GX010146_55
,GX010132_131
,GX010150_40
,GX010131_124
,GX010139_164
,GX010139_75
,GX010139_105
,GX010146_66
,GX010132_76
,GX010129_104
,GX010149_66
,GX010139_393
,GX010145_54
,GX010150_77
,GX010133_42
,GX010123_143
,GX010139_72
,GX010145_65
,GX010148_24
,GX010149_62
,GX010136_83
,GX010150_54
,GX010130_125
,GX010145_60
,GX010136_82
,GX010149_67
,GX010147_56
,GX010144_37
,GX010149_55
,GX010139_395
,GX010136_199
,GX010136_84
,GX010132_130
,GX010149_58
,GX010131_121
,GX010129_229
,GX010136_85
,GX010145_63
,GX010146_42
,GX010139_104
,GX010139_76
,GX010146_43
,GX010147_18
,GX010139_339
,GX010129_167
,GX010148_31
,GX010128_55
,GX010136_101
,GX010150_76
,GX010145_62
,GX010129_218
,GX010136_89
,GX010139_77
,GX010129_49
,GX010130_55
,GX010149_36
,GX010129_152
,GX010139_310
,GX010131_61
,GX010136_95
,GX010129_175
,GX010149_84
,GX010129_8
,GX010139_509
,GX010128_62
,GX010146_65
,GX010136_23
,GX010130_65
,GX010144_121
,GX010139_73
,GX010136_50
,GX010131_77
,GX010148_22
,GX010145_46
,GX010136_102
,GX010146_52
,GX010139_79
,GX010123_103
,GX010131_122
,GX010149_20
,GX010129_23
,GX010129_259
,GX010144_35
,GX010139_520
,GX010139_312
,GX010131_78
,GX010129_262
,GX010139_522
,GX010150_37
,GX010132_78
,GX010149_16
,GX010139_80
,GX010139_394
,GX010149_31
,GX010129_260
,GX010129_170
,GX010139_287
,GX010129_44
,GX010146_46
,GX010132_100
,GX010130_91
,GX010149_14
,GX010136_103
,GX010150_23
,GX010128_59
,GX010144_127
,GX010129_103
,GX010130_70
,GX010139_576
,GX010139_595
,GX010150_61
,GX010149_68
,GX010145_94
,GX010123_134
,GX010132_93
,GX010136_88
,GX010129_151
,GX010133_149
,GX010139_409
,GX010150_24
,GX010129_125
,GX010129_258
,GX010128_61
,GX010128_60
,GX010130_12
,GX010129_217
,GX010129_230
,GX010146_67
,GX010136_194
,GX010147_34
,GX010149_69
,GX010130_56
,GX010139_159
,GX010139_311
,GX010130_38
,GX010139_96
,GX010146_53
,GX010128_26
,GX010146_91
,GX010129_233
,GX010129_26
,GX010130_66
,GX010129_256
,GX010129_274
,GX010130_127
,GX010133_69
,GX010136_52
,GX010147_52
,GX010131_118
,GX010128_27
,GX010136_116
,GX010147_114
,GX010130_9
,GX010136_86
,GX010130_33
,GX010136_188
,GX010136_197
,GX010129_231
,GX010139_103
,GX010146_38
,GX010129_249
,GX010132_155
,GX010145_82
,GX010136_21
,GX010139_8
,GX010136_198
,GX010149_28
,GX010128_25
,GX010133_172
,GX010132_154
,GX010136_104
,GX010139_392
,GX010145_51
,GX010132_97
,GX010139_33
,GX010139_596
,GX010146_56
,GX010129_273
,GX010149_86
,GX010150_55
,GX010149_17
,GX010139_300
,GX010149_18
,GX010136_74
,GX010123_147
,GX010145_70
,GX010133_59
,GX010139_313
,GX010130_5
,GX010139_31
,GX010139_577
,GX010130_11
,GX010133_95
,GX010144_120
,GX010139_389
,GX010131_83
,GX010148_50
,GX010133_167
,GX010147_41
,GX010139_338
,GX010123_146
,GX010129_106
,GX010133_170
,GX010146_111
,GX010139_391
,GX010139_289
,GX010150_41
,GX010139_413
,GX010146_81
,GX010128_51
,GX010136_202
,GX010139_298
,GX010144_30
,GX010144_128
,GX010130_136
,GX010131_87
,GX010144_36
,GX010148_48
,GX010136_94
,GX010147_55
,GX010150_53
,GX010150_74
,GX010139_6
,GX010139_106
,GX010150_73
,GX010136_97
,GX010148_26
,GX010146_44
,GX010146_37
,GX010147_113
,GX010139_34
,GX010147_69
,GX010129_266
,GX010136_87
,GX010129_172
,GX010149_85
,GX010146_39
,GX010144_122
,GX010136_193
,GX010139_100
,GX010139_161
,GX010129_234
,GX010148_25
,GX010130_128
,GX010145_69
,GX010139_600
,GX010133_88
,GX010133_86
,GX010128_52
,GX010133_8
,GX010147_112
,GX010136_96
,GX010139_162
,GX010146_50
,GX010139_290
,GX010149_30
,GX010139_623
,GX010148_34
,GX010132_77
,GX010139_101
,GX010132_116
,GX010146_49
,GX010145_71
,GX010123_148
,GX010129_177
,GX010149_42
,GX010147_61
,GX010145_53
,GX010129_135
,GX010149_19
,GX010149_40
,GX010147_44
,GX010133_58
,GX010139_285
,GX010131_82
,GX010146_47
,GX010139_102
